property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,dimension_2,address,city_province,district,legal_docs,facing_direction,front_width,balcony_direction,raw_price,raw_area,raw_n_bedrooms,raw_n_bathrooms,scraper
Nhà hẻm ngõ,5.7,41.2,m²,3.0,2.0,2.0,12.0,"Phường Xương Huân, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Nam,3.5,,5.7,"41,2 m²(3,5x12,0)",3 phòng,2 WC,Thiên
Nhà hẻm ngõ,11.0,77.0,m²,3.0,3.0,3.0,18.5,"Phường Lộc Thọ, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Bắc,4.0,,11.0,"77 m²(4,0x18,5)",3 phòng,3 WC,Thiên
Nhà mặt tiền,9.7,82.0,m²,3.0,3.0,3.0,14.0,"Phường Phước Long, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Bắc,5.6,,9.7,"82 m²(5,6x14,0)",3 phòng,3 WC,Thiên
Nhà hẻm ngõ,2.17,418.0,m²,2.0,,,,"Xã Diên Điền, Huyện Diên Khánh, Khánh Hòa",Khánh Hòa,Huyện Diên Khánh,Giấy tờ hợp lệ,,,,2.17,418 m²,2 phòng,,Thiên
Nhà hẻm ngõ,2.83,214.3,m²,3.0,4.0,3.0,,"Xã Diên Điền, Huyện Diên Khánh, Khánh Hòa",Khánh Hòa,Huyện Diên Khánh,Giấy tờ hợp lệ,,,,2.83,"214,3 m²",3 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.15,160.0,m²,3.0,,2.0,18.0,"Xã Vĩnh Ngọc, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Tây Bắc,9.0,,3.15,"160 m²(9,0x18,0)",3 phòng,,Thiên
Nhà hẻm ngõ,4.7,70.0,m²,4.0,3.0,1.0,17.5,"Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Bắc,4.0,,4.7,"70 m²(4,0x17,5)",4 phòng,3 WC,Thiên
Nhà hẻm ngõ,3.89,136.0,m²,3.0,2.0,,12.0,"Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,,6.0,,3.89,"136 m²(6,0x12,0)",3 phòng,2 WC,Thiên
Nhà mặt tiền,4.3,56.0,m²,2.0,2.0,2.0,14.0,"Phường Vĩnh Trường, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Nam,4.0,,4.3,"56 m²(4,0x14,0)",2 phòng,2 WC,Thiên
Biệt thự,13.0,158.0,m²,3.0,4.0,3.0,,"Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Đang chờ sổ,Nam,,,13.0,158 m²,3 phòng,4 WC,Thiên
Nhà hẻm ngõ,4.5,45.5,m²,6.0,7.0,5.0,,"Phường Phước Hải, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Nam,,,4.5,"45,5 m²",6 phòng,7 WC,Thiên
Nhà mặt tiền,19.7,158.1,m²,3.0,3.0,1.0,25.0,"Phường Phước Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông,6.5,,19.7,"158,1 m²(6,5x25,0)",3 phòng,3 WC,Thiên
Nhà hẻm ngõ,3.2,50.0,m²,2.0,2.0,,10.0,"Đường 2 Tháng 4, Phường Vĩnh Hải, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Sổ hồng,Đông,5.0,Đông,3.2,"50 m²(5,0x10,0)",2 phòng,2 WC,Thiên
Nhà mặt tiền,2.4,71.4,m²,3.0,1.0,2.0,19.0,"Phường Vĩnh Phước, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Nam,3.5,,2.4,"71,4 m²(3,5x19,0)",3 phòng,1 WC,Thiên
Nhà mặt tiền,2.5,127.0,m²,3.0,3.0,2.0,18.0,"Xã Diên Phước, Huyện Diên Khánh, Khánh Hòa",Khánh Hòa,Huyện Diên Khánh,Giấy tờ hợp lệ,Tây Bắc,7.0,,2.5,"127 m²(7,0x18,0)",3 phòng,3 WC,Thiên
Biệt thự,13.0,154.0,m²,4.0,5.0,4.0,,"Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Đang chờ sổ,Nam,,,13.0,154 m²,4 phòng,5 WC,Thiên
Nhà hẻm ngõ,3.6,50.0,m²,3.0,2.0,,10.0,"Đường Mai Xuân Thưởng, Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Sổ hồng,Bắc,5.0,Bắc,3.6,"50 m²(5,0x10,0)",3 phòng,2 WC,Thiên
Nhà mặt tiền,2.85,83.0,m²,3.0,3.0,2.0,11.0,"Xã Diên An, Huyện Diên Khánh, Khánh Hòa",Khánh Hòa,Huyện Diên Khánh,Giấy tờ hợp lệ,,8.0,,2.85,"83 m²(8,0x11,0)",3 phòng,3 WC,Thiên
Nhà hẻm ngõ,3.85,38.5,m²,3.0,2.0,4.0,,"Phường Vạn Thắng, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Bắc,,,3.85,"38,5 m²",3 phòng,2 WC,Thiên
Nhà mặt tiền,11.5,82.0,m²,3.0,3.0,3.0,,"Phường Phước Tiến, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Tây Nam,,,11.5,82 m²,3 phòng,3 WC,Thiên
Nhà hẻm ngõ,3.65,82.0,m²,2.0,2.0,,11.0,"Đường Nguyễn Phong Sắc, Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Sổ hồng,Tây Nam,7.4,Tây Nam,3.65,"82 m²(7,4x11,0)",2 phòng,2 WC,Thiên
