property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,dimension_2,address,city_province,district,legal_docs,facing_direction,front_width,balcony_direction,raw_price,raw_area,raw_n_bedrooms,raw_n_bathrooms,scraper
Nhà hẻm ngõ,8.8,164.5,m²,5.0,3.0,3.0,,"Phường Cẩm Phô, TP. Hội An, Quảng Nam",Quảng Nam,TP. Hội An,Giấy tờ hợp lệ,Đông Nam,,,8.8,"164,5 m²",5 phòng,3 WC,Thiên
Nhà hẻm ngõ,1.65,101.0,m²,1.0,1.0,2.0,16.9,"Xã Điện Phước, Thị Xã Điện Bàn, Quảng Nam",Quảng Nam,Thị Xã Điện Bàn,Giấy tờ hợp lệ,Tây Nam,5.1,,1.65,"101 m²(5,1x16,9)",1 phòng,1 WC,Thiên
Nhà mặt tiền,4.8,157.5,m²,2.0,,1.0,31.5,"Phường Điện Nam Trung, Thị Xã Điện Bàn, Quảng Nam",Quảng Nam,Thị Xã Điện Bàn,Giấy tờ hợp lệ,,5.0,,4.8,"157,5 m²(5,0x31,5)",2 phòng,,Thiên
Nhà hẻm ngõ,1.4,138.0,m²,2.0,1.0,1.0,30.0,"Xã Điện Hòa, Thị Xã Điện Bàn, Quảng Nam",Quảng Nam,Thị Xã Điện Bàn,Giấy tờ hợp lệ,Đông Nam,4.6,,1.4,"138 m²(4,6x30,0)",2 phòng,1 WC,Thiên
Nhà mặt tiền,3.3,200.0,m²,3.0,2.0,2.0,40.0,"Phường Điện Nam Trung, Thị Xã Điện Bàn, Quảng Nam",Quảng Nam,Thị Xã Điện Bàn,Giấy tờ hợp lệ,Tây Bắc,5.0,,3.3,"200 m²(5,0x40,0)",3 phòng,2 WC,Thiên
Nhà mặt tiền,6.5,182.0,m²,3.0,3.0,,31.0,"Phường Điện Ngọc, Thị Xã Điện Bàn, Quảng Nam",Quảng Nam,Thị Xã Điện Bàn,Giấy tờ hợp lệ,,5.8,,6.5,"182 m²(5,8x31,0)",3 phòng,3 WC,Thiên
Nhà hẻm ngõ,2.55,99.0,m²,1.0,1.0,1.0,19.5,"Phường Thanh Hà, TP. Hội An, Quảng Nam",Quảng Nam,TP. Hội An,Giấy tờ hợp lệ,Đông Bắc,5.0,,2.55,"99 m²(5,0x19,5)",1 phòng,1 WC,Thiên
Nhà hẻm ngõ,1.6,101.0,m²,1.0,1.0,1.0,16.7,"Xã Điện Phương, Thị Xã Điện Bàn, Quảng Nam",Quảng Nam,Thị Xã Điện Bàn,Giấy tờ hợp lệ,Tây Nam,5.0,,1.6,"101 m²(5,0x16,7)",1 phòng,1 WC,Thiên
Nhà hẻm ngõ,8.5,2790.0,m²,6.0,7.0,1.0,93.0,"Thị Trấn Hà Lam, Huyện Thăng Bình, Quảng Nam",Quảng Nam,Huyện Thăng Bình,Giấy tờ hợp lệ,Đông,30.0,,8.5,"2.790 m²(30,0x93,0)",6 phòng,7 WC,Thiên
Nhà hẻm ngõ,2.2,64.0,m²,2.0,2.0,2.0,16.0,"Thị Trấn Hà Lam, Huyện Thăng Bình, Quảng Nam",Quảng Nam,Huyện Thăng Bình,Giấy tờ hợp lệ,Tây,4.0,,2.2,"64 m²(4,0x16,0)",2 phòng,2 WC,Thiên
Nhà mặt tiền,7.6,100.0,m²,11.0,,,20.0,"Phường Điện Dương, Thị Xã Điện Bàn, Quảng Nam",Quảng Nam,Thị Xã Điện Bàn,Giấy tờ hợp lệ,,5.0,,7.6,"100 m²(5,0x20,0)",11 phòng,,Thiên
Mặt tiền,16.0,100.0,m²,4.0,4.0,4.0,18.0,"Phường Cẩm Phô, TP. Hội An, Quảng Nam",Quảng Nam,TP. Hội An,Giấy tờ hợp lệ,Tây Bắc,5.6,,16.0,"100 m²(5,6x18,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,2.2,75.0,m²,3.0,2.0,,15.0,"Xã Vĩnh Ngọc, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Sổ hồng,Tây Bắc,5.0,Tây Bắc,2.2,75 m²(5.0x15.0),3 phòng,2 WC,Thiên
Nhà hẻm ngõ,3.1,43.1,m²,3.0,3.0,3.0,,"Phường Phước Long, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Tây Nam,,,3.1,"43,1 m²",3 phòng,3 WC,Thiên
Nhà mặt tiền,15.5,66.9,m²,9.0,5.0,5.0,,"Phường Phước Tiến, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,,,,15.5,"66,9 m²",9 phòng,5 WC,Thiên
Nhà hẻm ngõ,4.9,155.7,m²,4.0,3.0,2.0,,"Xã Vĩnh Hiệp, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Nam,,,4.9,"155,7 m²",4 phòng,3 WC,Thiên
Nhà hẻm ngõ,9.5,76.0,m²,11.0,,7.0,,"Phường Phước Hải, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,,,,9.5,76 m²,11 phòng,,Thiên
Nhà mặt tiền,10.67,110.0,m²,3.0,3.0,3.0,25.0,"Phường Phước Long, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Tây Nam,4.5,,10.67,"110 m²(4,5x25,0)",3 phòng,3 WC,Thiên
Nhà mặt tiền,8.9,102.0,m²,4.0,4.0,,17.0,"Xã Vĩnh Ngọc, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Bắc,6.0,,8.9,"102 m²(6,0x17,0)",4 phòng,4 WC,Thiên
