property_type,price,area,n_bedrooms,n_bathrooms,n_floors,legal,interior,facing_direction,balcony_direction,front_width,front_road_width,title,latitude,longitude,verified,location,location_details,date_of_posting,url
Nhà riêng,"9,8 tỷ",64 m²,4 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Nam,Đông - Nam,4 m,6 m,Hẻm 6m - ô tô ngủ nhà - cách MT Tân Hương 50m - nhà mới 100% | 4*16m vuông vức | khu vực sầm uất,10.7898302477065,106.621913921388,1,"Tân Phú, Hồ Chí Minh","Đường Tân Hương, Phường Tân Quý, Tân Phú, Hồ Chí Minh",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-huong-phuong-tan-quy-2/hem-6m-o-to-ngu-cach-mt-50m-moi-100-4-16-vuong-vuc-khu-vuc-sam-uat-pr44808008
Nhà riêng,"5,25 tỷ",54 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Đông - Bắc,,"4,2 m",6 m,"Ngay trục Lã Xuân Oai, Tăng Nhơn Phú A, Q9, HXH tránh nhau, nhà đẹp 1 trệt 1 lầu, dọn vào ở 5.25 tỷ",10.8432227714803,106.796184469238,1,"Thủ Đức, Hồ Chí Minh","Phường Tăng Nhơn Phú A, Thủ Đức, Hồ Chí Minh",17/12/2025,https://batdongsan.com.vn/ban-nha-rieng-phuong-tang-nhon-phu-a-1/la-xuan-oai-tt-q9-hxh-tranh-u-dep-1-tret-1-lau-don-vao-o-nhinh-5-ty-pr44450678
Nhà riêng,"2,59 tỷ",43 m²,3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng.,Cơ bản,Tây - Nam,Tây - Nam,,8 m,"Chủ gởi bán nhà 1trệt 1lầu vị trí 1 sẹc đường oto thông. Ngay vòng xoay Tân Phong. Giá chỉ 2,590 tỷ",10.9603033645683,106.832306653065,1,"Biên Hòa, Đồng Nai","Đường Nguyễn Ái Quốc, Phường Tân Phong, Biên Hòa, Đồng Nai",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-ai-quoc-phuong-tan-phong-6/chu-goi-ban-1tret-1lau-vi-tri-1-sec-oto-thong-ngay-vong-xoay-gia-chi-2-650-ty-pr42177668
Nhà riêng,11 tỷ,"102,3 m²",7 phòng,7 phòng,2 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,"4,4 m",5 m,"Bán nhà 74/36 Núi Thành, P13, Tân Bình kề bên Etown - DT: 4.4 x 23.25m, nhà 2 tầng, có sẵn HĐ thuê",10.8007743529985,106.643389522055,1,"Tân Bình, Hồ Chí Minh","74/36 Đường Núi Thành, Phường 13, Tân Bình, Hồ Chí Minh",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-nui-thanh-phuong-13-10/ban-74-36-p13-tan-binh-ke-ben-etown-dt-4-4-x-23-25m-2-tang-co-san-hd-thue-pr44813815
Nhà riêng,"7,85 tỷ",160 m²,2 phòng,1 phòng,,Sổ riêng.,,Tây - Nam,,,,"Bán nhà cấp 4 đường Số 10 phường HBP, TP Thủ Đức, DT: 160m2, giá: 7,85 tỷ, LH: 0978 872 ***",10.8487683411815,106.723601124772,1,"Thủ Đức, Hồ Chí Minh","Đường Số 10, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-so-10-phuong-hiep-binh-phuoc/ban-cap-4-10-hbp-tp-thu-duc-dt-160m2-gia-7-85-ty-lh-pr44813383
Nhà riêng,"14,5 tỷ",81 m²,6 phòng,,4 tầng,Sổ đỏ.,,,,4 m,8 m,"81m2 - 14.5 tỷ - Huỳnh Văn Bánh, giao Nguyễn Văn Trỗi - hẻm 8m, giá rất mềm",10.7939945979025,106.681013973607,1,"Phú Nhuận, Hồ Chí Minh","Đường Huỳnh Văn Bánh, Phường 17, Phú Nhuận, Hồ Chí Minh",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-van-banh-phuong-17-3/81m2-14-5-ty-giao-nguyen-troi-hem-8m-gia-rat-mem-pr44813719
Nhà riêng,"15,8 tỷ",60 m²,4 phòng,5 phòng,4 tầng,Sổ hồng riêng.,,,,"4,45 m",,"Bán nhà hẻm xe hơi Nguyễn Trãi, Quận 1, gần Lancaster Legacy 4tầng, ngang 4,45m hiếm - 15,8 tỷ",10.7627352532961,106.687064522679,1,"Quận 1, Hồ Chí Minh","Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-trai-phuong-nguyen-cu-trinh/ban-hem-xe-hoi-quan-1-gan-lancaster-legacy-4-tang-ngang-4-45m-hiem-15-8-ty-pr44809106
Nhà riêng,"11,6 tỷ",50 m²,5 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,,"Nhà to rộng P Giảng Võ, 50m2*4T ngõ thông, gần ôtô dừng đỗ, thoáng trước sau, thang máy, ở/cho thuê",21.016302140294,105.832976181922,1,"Ba Đình, Hà Nội","Đường Đê La Thành, Phường Giảng Võ, Ba Đình, Hà Nội",17/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-de-la-thanh_1-phuong-giang-vo/-to-rong-p-50m2-5t-ngo-thong-gan-o-to-dung-do-truoc-thoang-khong-qh-o-cho-thue-pr44819397
Nhà riêng,"5,6 tỷ",73 m²,4 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,"4,6 m",6 m,"Nhà trệt lầu cách 1 căn ra MT Vườn Lài - Chung cư Thạnh Lộc - 73m2 (4,6x17) giá 5,6 tỷ",10.8489016538816,106.693067918461,1,"Quận 12, Hồ Chí Minh","Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-vuon-lai-phuong-an-phu-dong-1/-tret-lau-cach-1-can-ra-mt-chung-cu-thanh-loc-73m2-4-6x17-gia-5-6-ty-pr44813618
Nhà riêng,"12,8 tỷ",94 m²,4 phòng,5 phòng,3 tầng,Sổ đỏ/ Sổ hồng.,,,,"5,8 m",5 m,"Bán gấp biệt thự 2 mặt tiền 1 trệt 2 lầu Linh Chiểu, 4PN 5WC, khu dân cư cao cấp, gần Himlam",10.8541748992743,106.762288371958,1,"Thủ Đức, Hồ Chí Minh","Phường Linh Chiểu, Thủ Đức, Hồ Chí Minh",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-phuong-linh-chieu/ban-gap-biet-thu-2-mat-tien-1-tret-2-lau-4pn-5wc-khu-dan-cu-cao-cap-gan-himlam-pr44813453
Nhà riêng,"9,5 tỷ","68,6 m²",4 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,"4,25 m",4 m,"Bán nhà đường Nguyễn Hồng Đào, khu Bàu Cát - DT: 4.25 x 16,2m nhà rất đẹp 4 tầng, thiết kế hiện đại",10.7933459843538,106.642560706601,1,"Tân Bình, Hồ Chí Minh","Đường Nguyễn Hồng Đào, Phường 14, Tân Bình, Hồ Chí Minh",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-hong-dao-phuong-14-10/ban-khu-bau-cat-dt-4-25-x-16-2m-rat-dep-4-tang-thiet-ke-hien-dai-pr44539156
Nhà riêng,"4,35 tỷ",57 m²,3 phòng,3 phòng,2 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,,4 m,5 m,Nhà 1 lầu xây mới 3PN full nội thất cao cấp. DT. 4m x 14m - Giá tốt - Gần chợ Đường - Hà Huy Giáp,10.8948094102735,106.668488775997,1,"Quận 12, Hồ Chí Minh","Đường Thạnh Xuân 52, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-thanh-xuan-52-1-phuong-thanh-xuan/-1-lau-xay-moi-3pn-full-noi-that-cao-cap-dt-4m-x-14m-gia-tot-gan-cho-ha-huy-giap-pr44818102
Nhà riêng,"22,4 tỷ",86 m²,6 phòng,5 phòng,5 tầng,Sổ đỏ/ Sổ hồng.,,Đông - Nam,,"4,6 m",8 m,MTKD ngay Huỳnh Văn Bánh - Trường Sa - 86m2 - 5 tầng - cho thuê 60tr/th,10.7885572860078,106.669592541675,1,"Phú Nhuận, Hồ Chí Minh","Đường Trường Sa, Phường 13, Phú Nhuận, Hồ Chí Minh",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-truong-sa-phuong-13-9/mtkd-huynh-van-banh-85m2-5-tang-cho-thue-60tr-th-pr43775385
Nhà riêng,"3,6 tỷ",64 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng.,Cơ bản,Đông - Nam,Đông - Nam,"5,3 m",6 m,"Bán nhà 1T1L (DT: 64m2) sổ riêng thổ cư 100% đường oto 7 chỗ thông gần công viên B5. Giá chỉ 3,6tỷ",10.9610446064257,106.843348610182,1,"Biên Hòa, Đồng Nai","Đường Dương Tử Giang, Phường Tân Mai, Biên Hòa, Đồng Nai",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-duong-tu-giang-phuong-tan-mai/ban-1t1l-dt-64m2-so-tho-cu-100-oto-7-cho-thong-gan-cong-vien-b5-gia-chi-3-6-ty-pr44035966
Nhà riêng,21 tỷ,64 m²,7 phòng,7 phòng,6 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Nam,Đông - Nam,"4,1 m",6 m,"Nhà khu du lịch - XH ngủ trong nhà, Trần Quý Khoách, Q1 - 4,1x15,6m - 6 tầng thang máy - chỉ 21 tỷ",10.7935865646983,106.688248054799,1,"Quận 1, Hồ Chí Minh","Đường Trần Quý Khoách, Phường Tân Định, Quận 1, Hồ Chí Minh",17/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-quy-khoach-phuong-tan-dinh-2/-khu-du-lich-xh-ngu-trong-q1-4-1-x-15-6m-6-tang-thang-may-chi-21-ty-pr44694668
Nhà riêng,14 tỷ,100 m²,5 phòng,5 phòng,3 tầng,Sổ đỏ/ Sổ hồng,,,,,,Bán nhà TTTP. Cách sông Hàn 50m. Khu KD sầm uất,16.0862760225263,108.218010384589,1,"Hải Châu, Đà Nẵng","Đường 3/2, Phường Thuận Phước, Hải Châu, Đà Nẵng",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-3-2-2-phuong-thuan-phuoc/ban-tttp-cach-song-han-50m-khu-kd-sam-uat-pr44642815
Nhà riêng,"3,1 tỷ",60 m²,3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,Cơ bản,Tây - Bắc,Tây - Bắc,"4,2 m",3 m,"Bán nhà 1 trệt 1 lầu ngay khách sạn 5 sao Central Park thuộc P. Tân Mai. Giá chỉ 3,1 tỷ",10.9647130832492,106.845222345244,1,"Biên Hòa, Đồng Nai","Đường Nguyễn Ái Quốc, Phường Tân Mai, Biên Hòa, Đồng Nai",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-ai-quoc-phuong-tan-mai/ban-1-tret-1-lau-ngay-khach-san-5-sao-central-park-thuoc-p-tien-gia-chi-2-9-ty-pr44401949
Nhà riêng,"4,7 tỷ","100,4 m²",2 phòng,2 phòng,1 tầng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,5 m,7 m,"Bán nhà xã Xuân Thới Thượng, Hóc Môn",10.8535743383037,106.580762861396,1,"Hóc Môn, Hồ Chí Minh","Xã Xuân Thới Thượng, Hóc Môn, Hồ Chí Minh",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-xa-xuan-thoi-thuong/ban-hoc-mon-pr44813171
Nhà riêng,"5,6 tỷ",42 m²,4 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Đông - Bắc,4 m,5 m,Siêu phẩm nhà đẹp đường Huỳnh Thị Hai phường Tân Chánh Hiệp Quận 12 TP HCM,10.8674193043538,106.628007421727,1,"Quận 12, Hồ Chí Minh","Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",17/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-thi-hai-phuong-tan-chanh-hiep-1/sieu-pham-dep-quan-12-tp-hcm-pr44822464
"Nhà biệt thự, liền kề","35,9 tỷ",227 m²,,,3 tầng,Sổ đỏ/ Sổ hồng,,Bắc,,,,"Cơ hội hiếm: Biệt thự V3 - 251 giá tốt, thương lượng sâu cho khách thiện chí!",10.835709979002033,106.84211397530866,1,"Quận 9, Hồ Chí Minh","Dự án The Manhattan Glory, Phường Long Bình, Quận 9, Hồ Chí Minh",07/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-long-binh-3-prj-the-manhattan-glory-vinhomes-grand-park/co-hoi-hiem-v3-251-gia-tot-ong-luong-sau-cho-khach-thien-chi-pr44479706
"Nhà biệt thự, liền kề","17,9 tỷ",84 m²,,,5 tầng,Sổ đỏ/ Sổ hồng,,,,,,"T18 - 22 nhà phố liền kề đẹp như mơ 84m², sổ sẵn Sống xanh giữa lòng Thủ Đức!",10.836566858472676,106.84293547675684,1,"Quận 9, Hồ Chí Minh","The Manhattan Glory, T18 - 22, Phường Long Bình, Quận 9, Hồ Chí Minh",07/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-long-binh-3-prj-the-manhattan-glory-vinhomes-grand-park/t18-22-pho-dep-nhu-mo-84m-so-san-song-xanh-giua-duc-pr44480096
"Nhà biệt thự, liền kề",20 tỷ,84 m²,,,5 tầng,Sổ đỏ/ Sổ hồng ( sử dụng chung),Hoàn thiện full nội thất.,Bắc,,,,"D9 - 22 hoàn thiện đẹp đang cho thuê, thu nhập ổn định, sổ hồng sẵn",10.835303983991,106.84342679206,1,"Quận 9, Hồ Chí Minh","The Manhattan Glory, 22, Đường D9, Phường Long Bình, Quận 9, Hồ Chí Minh",07/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-d9-phuong-long-binh-3-prj-the-manhattan-glory-vinhomes-grand-park/-22-hoan-thien-dep-dang-cho-e-nhap-on-dinh-so-hong-san-pr44479837
"Nhà biệt thự, liền kề","19,9 tỷ",84 m²,,,5 tầng,Sổ đỏ/ Sổ hồng ( sử dụng chung),,Bắc,,,,"Nhà đẹp T2 - 10 5 tầng sang trọng, sổ hồng sang tên ngay!",10.8358745353547,106.842861434469,1,"Quận 9, Hồ Chí Minh","The Manhattan Glory, 10, Đường T2, Phường Long Bình, Quận 9, Hồ Chí Minh",07/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-t2-phuong-long-binh-3-prj-the-manhattan-glory-vinhomes-grand-park/-dep-10-5-tang-sang-trong-so-hong-sang-ten-ngay-pr44479888
"Nhà biệt thự, liền kề","24,5 tỷ",126 m²,,,5 tầng,Sổ đỏ/ Sổ hồng ( sử dụng chung),,Bắc,,,,"Chốt nhanh T10 - 07 nhà 5 tầng + tum, vị trí đẹp, giá tốt nhất Phước Thiện!",10.835599838048784,106.84260245181096,1,"Quận 9, Hồ Chí Minh","The Manhattan Glory, Số 07, Đường T10, Phường Long Bình, Quận 9, Hồ Chí Minh",07/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-t10-phuong-long-binh-3-prj-the-manhattan-glory-vinhomes-grand-park/chot-nh-07-5-tang-tum-vi-tri-dep-gia-tot-t-phuoc-thien-pr44480024
"Nhà biệt thự, liền kề","35,9 tỷ",225 m²,,,3 tầng,Sổ đỏ/ Sổ hồng ( sử dụng chung),,,,,,"Biệt thự sang trọng khu V3 - 279 Manhattan Glory sổ hồng sẵn, cho thuê 45tr/ tháng",10.8360405376083,106.842819397531,1,"Quận 9, Hồ Chí Minh","Dự án The Manhattan Glory, Phường Long Bình, Quận 9, Hồ Chí Minh",07/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-long-binh-3-prj-the-manhattan-glory-vinhomes-grand-park/-sang-trong-khu-v3-279-so-hong-san-cho-e-45tr-thang-pr44479597
"Nhà biệt thự, liền kề","1,86 tỷ","113,6 m²",,,2 tầng,Sổ đỏ/ Sổ hồng,,,,"7,6 m",,"Bán căn góc tứ lập 113,6m2 full thổ cư tại Oasis City, dân ở đông, sổ sẵn, hỗ trợ vay, giá 1,86 tỷ",11.1081419478506,106.60412823697,1,"Bến Cát, Bình Dương","Dự án Oasis City, Phường Thới Hòa, Bến Cát, Bình Dương",09/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-thoi-hoa-prj-oasis-city/ban-can-goc-tu-lap-113-6m2-full-tho-cu-tai-dan-o-dong-so-san-ho-tro-vay-gia-1-9-ty-pr44471402
"Nhà biệt thự, liền kề","37,5 tỷ",205 m²,,,4 tầng,Sổ đỏ/ Sổ hồng,,,,,,Gấp gấp! Biệt thự đẹp 4 tầng hồ bơi 205m2 ngay Xuân Thuỷ chỉ 37.5 Tỷ ngay trường ISHCMC,10.8042308279811,106.729079736336,1,"Quận 2, Hồ Chí Minh","Đường Nguyễn Bá Huân, Phường Thảo Điền, Quận 2, Hồ Chí Minh",07/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-ba-huan-phuong-thao-dien/gap-gap-dep-4-tang-ho-boi-205m2-ngay-xuan-y-chi-37-5-ty-ngay-truong-ishcmc-pr43899079
"Nhà biệt thự, liền kề",88 tỷ,"382,5 m²",,,4 tầng,Sổ đỏ/ Sổ hồng,,,,,,Cực tốt: 230tr/m2 biệt thự rẻ hơn giá đất khu compound Nguyễn Văn Hưởng Thảo Điền 15x25 - 4 Tầng,10.8081173588371,106.733147119927,1,"Quận 2, Hồ Chí Minh","Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",07/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-van-huong-phuong-thao-dien/cuc-tot-230tr-m2-re-hon-gia-dat-khu-compound-15x25-4-tang-pr44346364
"Nhà biệt thự, liền kề",50 tỷ,214 m²,36 phòng,36 phòng,8 tầng,Sổ đỏ/ Sổ hồng,,Đông - Nam,Đông - Nam,20 m,,"Chính chủ cần bán khách sạn 8 tầng mặt biển dự án Vlasta - Sầm Sơn, sổ đỏ lâu dài. Giá đầu tư",19.707921839119575,105.8440153366407,1,"Sầm Sơn, Thanh Hóa","Dự án Vlasta Sầm Sơn, Xã Quảng Hùng, Sầm Sơn, Thanh Hóa",07/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-quang-hung-4-prj-vlasta-sam-son/chinh-chu-can-ban-khach-san-8-tang-mat-bien-du-an-so-do-lau-dai-gia-dau-tu-pr44454487
"Nhà biệt thự, liền kề","11,8 tỷ",130 m²,3 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Đông - Bắc,10 m,12 m,Biệt thự 3 tầng Sao Đỏ - Thành Tô - 130m2 ngang 10m - View công viên,21.0289486097874,105.852447225903,1,"Hải An, Hải Phòng","Đường Bùi Viện, Phường Thành Tô, Hải An, Hải Phòng",07/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-bui-vien-phuong-thanh-to/-3-tang-sao-do-130m2-ngang-10m-view-cong-vien-pr41439301
"Nhà biệt thự, liền kề",60 tỷ,369 m²,4 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,"Đã hoàn thiện, thiết kế phong cách Nhật Bản tinh tế tối giản sang trọng.",,,,,"Tống Diễn 0944 866 ***. Bán nhanh BT đơn lập Ecopark, phong cách Nhật Bản, 369 m2, 60 tỷ",20.974342996301655,105.92220439520646,1,"Văn Giang, Hưng Yên","Dự án Ecopark, Đường Trúc, Xã Xuân Quan, Văn Giang, Hưng Yên",07/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-truc-1-xa-xuan-quan-prj-khu-do-thi-ecopark/tong-dien-ban-nhanh-bt-don-lap-phong-cach-nhat-ban-369-m2-60-ty-pr44731355
"Nhà biệt thự, liền kề","10,5 tỷ",223 m²,4 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,Tây - Bắc,20 m,8 m,Biệt thự sân vườn ngay trung tâm thị trấn Nhà Bè - Hơn 70% mảng xanh phục vụ sức khoẻ cho gia chủ,10.6845564570466,106.750188445301,1,"Nhà Bè, Hồ Chí Minh","83, Đường Đào Tông Nguyên, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",06/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-dao-tong-nguyen-thi-tran-nha-be/-san-vuon-ngay-trung-tam-hon-70-mang-xanh-phuc-vu-suc-khoe-cho-gia-chu-pr43953334
"Nhà biệt thự, liền kề","7,1 tỷ",160 m²,,,3 tầng,Hợp đồng mua bán.,Không nội thất,Đông - Nam,Đông - Nam,,14 m,"Cần bán nhà phố liền kề, chính chủ AquaCity 8x20m, 1T2L sân thượng, giá tốt, LH 0898 797 ***",10.8618639183776,106.859456839378,1,"Biên Hòa, Đồng Nai","Dự án Aqua City, Đường Hương lộ 2, Xã Long Hưng, Biên Hòa, Đồng Nai",08/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-huong-lo-2-xa-long-hung-6-prj-aqua-city/can-ban-pho-chinh-chu-aquacity-8x20m-1t2l-san-thuong-gia-tot-lh-pr44594729
"Nhà biệt thự, liền kề",51 tỷ,221 m²,,,3 tầng,Sổ đỏ/ Sổ hồng,Cơ bản,,,11 m,17 m,"Hiếm! Giá đầu tư. Bán biệt thự Việt Hưng, DT 221m2 x 11m. Giá 51 tỷ. sân vườn, vỉa hè, ô tô đỗ",21.06298357637199,105.90759205681162,1,"Long Biên, Hà Nội","Dự án Việt Hưng, Phường Việt Hưng, Long Biên, Hà Nội",06/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-viet-hung-2-prj-khu-do-thi-viet-hung/hiem-gia-dau-tu-ban-dt-221m-x-11m-gia-51-ty-san-vuon-via-he-o-to-do-pr44446473
"Nhà biệt thự, liền kề",27 tỷ,149 m²,4 phòng,,3 tầng,Sổ đỏ/ Sổ hồng,Không nội thất,Đông - Nam,Đông - Nam,"8,5 m",13 m,27 tỷ! Biệt thự song lập 149m2 Sao Biển Đông Nam cách biển nước mặn chỉ 70m Vinhomes Ocean Park 1,21.0018714917827,105.963415673837,1,"Gia Lâm, Hà Nội","Dự án Vinhomes Ocean Park Gia Lâm, Đường Sao Biển, Xã Dương Xá, Gia Lâm, Hà Nội",06/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-sao-bien-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/27-ty-song-lap-149m2-dong-nam-cach-nuoc-man-chi-70m-1-pr44324069
"Nhà biệt thự, liền kề","10,8 tỷ",231 m²,,,3 tầng,Sổ đỏ/ Sổ hồng.,,Đông - Bắc,,14 m,,Chính chủ cần tiền bán gấp căn biệt thự 231m2 dự án Vlasta Sầm Sơn,19.708198833256,105.843385005012,1,"Sầm Sơn, Thanh Hóa","Dự án Vlasta Sầm Sơn, Xã Quảng Hùng, Sầm Sơn, Thanh Hóa",08/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-quang-hung-4-prj-vlasta-sam-son/chinh-chu-can-tien-ban-gap-can-231m2-du-an-son-pr44454472
"Nhà biệt thự, liền kề","7,3 tỷ",48 m²,6 phòng,4 phòng,5 tầng,Sổ đỏ/ Sổ hồng,Không nội thất,Đông - Nam,,4 m,13 m,Bán nhanh liền kề 5 tầng 190m2 sàn gần trường Vinschool & công viên VH Ocean Park 2 sẵn sổ 7 tỷ3,20.943308293816624,105.97991496358058,1,"Văn Giang, Hưng Yên","Dự án Vinhomes Ocean Park 2, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",06/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-nghia-tru-prj-vinhomes-ocean-park-2/ban-nhanh-5-tang-190m2-san-gan-truong-vinschool-cong-vien-vh-2-san-so-gia-7-ty-pr43172852
"Nhà biệt thự, liền kề","51,9 tỷ","542,63 m²",,,3 tầng,,Cao cấp và sang trọng,,,,,"51.9 tỷ, biệt thự nở hậu, Cầu Xéo cũ, Tân Phú, 542.63m2, 3 tầng, ao vườn dân dã",10.7985341984024,106.625588883373,1,"Tân Phú, Hồ Chí Minh","Đường Hà Thị Đát, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",06/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-ha-thi-dat-phuong-tan-son-nhi/53-51-9-ty-no-hau-cau-xeo-cu-phu-542-63m2-3-g-ao-vuon-dan-da-pr44732375
"Nhà biệt thự, liền kề","8,85 tỷ","58,5 m²",6 phòng,5 phòng,5 tầng,Sổ đỏ/ Sổ hồng,Không nội thất,Tây - Nam,Đông - Bắc,"4,5 m",13 m,"Bán nhanh liền kề shop 5 tầng 240m2 sàn gần Vincom và công viên VH Ocean Park 2 sẵn sổ, giá 8 tỷ850",20.9429602825274,105.979512427416,1,"Văn Giang, Hưng Yên","Dự án Vinhomes Ocean Park 2, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",06/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-nghia-tru-prj-vinhomes-ocean-park-2/ban-nhanh-shop-5-tang-240m2-san-gan-vincom-va-cong-vien-vh-2-san-so-gia-8-ty-6-pr43855951
Nhà mặt phố,"2,8 tỷ","365,5 m²",3 phòng,1 phòng,1 tầng,Sổ đỏ/ Sổ hồng,Không nội thất,Nam,Nam,6 m,12 m,"Bán nhanh nhà 3PN Đồng Bà Thìn, Cam Hiệp Nam gần đường lớn QH đô thị mới Vinhomes",12.0234167543532,109.135334852233,1,"Cam Lâm, Khánh Hòa","Đường Đồng Bà Thìn - Suối Cát, Xã Cam Hiệp Nam, Cam Lâm, Khánh Hòa",12/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-dong-ba-thin-suoi-cat-xa-cam-hiep-nam/n-nh-3pn-gan-lon-qh-do-thi-moi-vinhomes-pr44767109
Nhà mặt phố,"11,6 tỷ",31 m²,3 phòng,3 phòng,5 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,"3,2 m",5 m,Giảm 1 tỷ TL mạnh - Nhà mặt phố quận HBT cạnh Đầm Trấu Lương Yên,21.0085923894315,105.8662213595,1,"Hai Bà Trưng, Hà Nội","Đường Nguyễn Khoái, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",08/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-khoai-phuong-thanh-luong/giam-manh-trong-thang-chinh-chu-ban-quan-hai-ba-trung-pr44530926
Nhà mặt phố,38 tỷ,"76,3 m²",5 phòng,6 phòng,4 tầng,Sổ đỏ/ Sổ hồng,,,,4 m,24 m,"Bán nhà mặt tiền đường Quận 1. Trần Hưng Đạo 4x19m, 3 lầu HĐT 90tr/th giá 38 tỷ TL",10.7591580922517,106.687578296492,1,"Quận 1, Hồ Chí Minh","Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Hồ Chí Minh",03/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-hung-dao-phuong-cau-kho/ban-tien-quan-1-4x19m-3-lau-hdt-90tr-th-gia-38-ty-tl-pr43717529
