property_type,price,area,n_bedrooms,n_bathrooms,n_floors,legal,interior,front_road_width,latitude,longitude,address,district,city_province
Biệt thự,6.25,78.0,4,,4,Hợp đồng mua bán,,5.0,10.3952767635214,107.147610144103,"La Vida Residences, Đường 3/2, Phường 12, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu",Vũng Tàu,Bà Rịa Vũng Tàu
Biệt thự,22.0,273.0,4,5,3,Hợp đồng mua bán,Không nội thất,15.0,10.3957453565289,107.148089911336,"Dự án La Vida Residences, Đường 3/2, Phường 12, Vũng Tàu, Bà Rịa Vũng Tàu",Vũng Tàu,Bà Rịa Vũng Tàu
Biệt thự,8.85,103.6,,,4,Sổ đỏ/ Sổ hồng,Không nội thất,,10.3962915791956,107.147624089501,"La Vida Residences, Đường 3/2, Phường 12, Vũng Tàu, Bà Rịa Vũng Tàu",Vũng Tàu,Bà Rịa Vũng Tàu
Biệt thự,4.8,122.2,3,3,2,Sổ đỏ/ Sổ hồng,,,11.9955681538647,109.231970091279,"ParaSol, Phường Cam Nghĩa, Cam Ranh, Khánh Hòa",Cam Ranh,Khánh Hòa
Biệt thự,41.7,278.0,,,4,Sổ đỏ/ Sổ hồng,Không nội thất,11.65,21.0149061647214,105.723914584099,"Dự án Mailand Hanoi City, Đường Đại lộ Thăng Long, Xã Song Phương, Hoài Đức, Hà Nội",Hoài Đức,Hà Nội
Biệt thự,8.8,67.5,,,4,Hợp đồng mua bán,,4.5,20.8733939477895,106.720503084362,"Vinhomes Royal Island, Phường Thủy Hà, Thủy Nguyên, Hải Phòng",Thủy Nguyên,Hải Phòng
Biệt thự,75.0,193.0,6,6,5,Sổ đỏ/ Sổ hồng,Hoàn thiện nội thất,,21.036591842518224,105.76066434225535,"Dự án Vinhomes Gardenia, Đường Hàm Nghi, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Hà Nội
Biệt thự,22.61,323.0,4,4,3,Hợp đồng mua bán,Không nội thất,6.6,21.3534335008836,105.746237623349,"Dự án Thanh Xuân Valley, Xã Ngọc Thanh, Phúc Yên, Vĩnh Phúc",Phúc Yên,Vĩnh Phúc
Biệt thự,21.86,132.4,4,5,4,Sổ đỏ/ Sổ hồng,Không nội thất,6.0,10.8055360006556,106.789521624102,"Dự án Verosa Park, Đường Số 5, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Hồ Chí Minh
Biệt thự,53.658,325.2,5,5,4,Sổ đỏ/ Sổ hồng,Không nội thất,12.5,21.015054968063545,105.72485524240884,"Dự án Mailand Hanoi City, Đường Đại lộ Thăng Long, Xã An Khánh, Hoài Đức, Hà Nội",Hoài Đức,Hà Nội
