property_type,price,area,n_bedrooms,n_bathrooms,n_floors,legal,interior,front_road_width,latitude,longitude,address,district,city_province
Căn hộ chung cư,2.75,77.0,2,1,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,10.703016774490456,106.62157129104672,"Dự án Phú Lợi, Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh",Quận 8,Hồ Chí Minh
Căn hộ chung cư,8.6,107.0,3,2,3,Sổ đỏ/ Sổ hồng,,,21.0146820390979,105.817600500953,"Sông Hồng Park View, 165, Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội",Đống Đa,Hà Nội
Căn hộ chung cư,21.0,181.0,3,2,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,21.0068823373859,105.802014463579,"Dự án N05 Trần Duy Hưng, Phố Hoàng Đạo Thúy, Phường Trung Hòa, Cầu Giấy, Hà Nội",Cầu Giấy,Hà Nội
Căn hộ chung cư,5.47,54.0,1,1,3,Sổ đỏ/ Sổ hồng,Cơ bản,,20.971406870144893,105.87994230401448,"Dự án The Zen Residence, Phường Trần Phú, Hoàng Mai, Hà Nội",Hoàng Mai,Hà Nội
Căn hộ chung cư,10.8,125.6,3,2,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,21.029030437429704,105.79386646403664,"Dự án ĐTM Dịch Vọng, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Cầu Giấy,Hà Nội
Căn hộ chung cư,5.4,55.0,1,1,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,10.73931359950726,106.70037954779286,"Dự án Sunrise City, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh",Quận 7,Hồ Chí Minh
Nhà riêng,5.35,36.0,,,2,Sổ đỏ/ Sổ hồng,Cơ bản,4.0,10.8066787436917,106.611574199225,"Đường DC6, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",Tân Phú,Hồ Chí Minh
Nhà riêng,8.4,53.2,4,5,3,Sổ hồng riêng,"Full nội thất cao cấp: Tặng toàn bộ như hình (sofa, giường, tủ bếp, tủ lạnh, máy lạnh)",,10.7695578413898,106.622672573491,"Đường Phan Anh, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",Tân Phú,Hồ Chí Minh
Nhà riêng,6.35,42.0,5,4,4,Sổ hồng riêng,Đầy đủ,,10.7558900776965,106.701195119278,"Đường Khánh Hội, Phường 4, Quận 4, Hồ Chí Minh",Quận 4,Hồ Chí Minh
Nhà riêng,20.0,85.0,,,3,Sổ đỏ/ Sổ hồng,Đầy đủ,4.5,10.7708661843131,106.686402776762,"Đường Nguyễn Thị Minh Khai, Phường 5, Quận 3, Hồ Chí Minh",Quận 3,Hồ Chí Minh
Nhà riêng,3.85,18.9,2,3,3,Sổ đỏ/ Sổ hồng,,3.1,10.784706414288,106.642006352724,"Đường Âu Cơ, Phường 11, Tân Bình, Hồ Chí Minh",Tân Bình,Hồ Chí Minh
Nhà riêng,5.7,72.9,4,3,3,Sổ đỏ/ Sổ hồng,Cơ bản,4.7,10.8356521459398,106.790221313148,"Đường 160, Phường Tăng Nhơn Phú A, Thủ Đức, Hồ Chí Minh",Thủ Đức,Hồ Chí Minh
Nhà riêng,11.7,72.0,3,3,2,Sổ đỏ/ Sổ hồng,Đầy đủ,4.0,10.8202889234618,106.704289109971,"Đường Nguyễn Xí, Phường 13, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,Hồ Chí Minh
Nhà riêng,15.0,52.0,3,4,4,Sổ đỏ/ Sổ hồng,Đầy đủ,,10.7931816161484,106.687460658303,"Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, Hồ Chí Minh",Quận 1,Hồ Chí Minh
Nhà riêng,9.5,42.0,2,4,4,Sổ đỏ/ Sổ hồng,Đầy đủ,3.6,21.0058323018179,105.816758886515,"Đường Láng, Phường Thịnh Quang, Đống Đa, Hà Nội",Đống Đa,Hà Nội
Nhà riêng,6.9,62.0,2,2,2,Sổ đỏ/ Sổ hồng,Cơ bản,4.5,10.837265433948,106.790263747056,"Đường 160, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",Quận 9,Hồ Chí Minh
Nhà riêng,9.79,53.2,5,6,5,Sổ đỏ/ Sổ hồng,Nội thất cao cấp hàng nhập EU,4.0,10.7998597672513,106.640982404346,"Đường Trường Chinh, Phường 14, Tân Bình, Hồ Chí Minh",Tân Bình,Hồ Chí Minh
Nhà riêng,10.5,49.0,2,2,2,Có sổ,,5.0,10.8078114673906,106.666544541588,"Phường 2, Tân Bình, Hồ Chí Minh",Tân Bình,Hồ Chí Minh
Nhà riêng,10.0,60.0,4,4,5,Sổ đỏ/ Sổ hồng,,,10.7907415059562,106.637436429084,"Đường Lũy Bán Bích, Phường Tân Thành, Tân Phú, Hồ Chí Minh",Tân Phú,Hồ Chí Minh
Nhà riêng,3.0,150.0,3,1,1,Sổ đỏ/ Sổ hồng,Không nội thất,7.5,12.2296676914271,109.108560146947,"Xã Diên Toàn, Diên Khánh, Khánh Hòa",Diên Khánh,Khánh Hòa
Nhà riêng,5.0,24.6,2,2,2,Sổ đỏ/ Sổ hồng,Cơ bản,,10.767120180351,106.692322421545,"Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",Quận 1,Hồ Chí Minh
Nhà riêng,9.0,69.2,10,11,4,Sổ đỏ/ Sổ hồng,,,10.8389402647174,106.648664848962,"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",Gò Vấp,Hồ Chí Minh
Nhà riêng,7.2,58.0,4,5,5,Sổ đỏ/ Sổ hồng,Đầy đủ,4.0,10.8792333459699,106.660854682675,"Đường Thạnh Xuân 25, Phường Thới An, Quận 12, Hồ Chí Minh",Quận 12,Hồ Chí Minh
Nhà riêng,12.9,61.7,4,5,4,Sổ hồng,,8.0,10.7150211395729,106.734034640135,"Đường Số 2, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",Quận 7,Hồ Chí Minh
Nhà riêng,7.49,60.0,4,4,3,Sổ đỏ/ Sổ hồng,Đầy đủ,4.0,10.727511544219,106.733005591212,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Quận 7,Hồ Chí Minh
Nhà riêng,6.5,42.0,4,3,5,Sổ đỏ/ Sổ hồng,Đầy đủ,4.5,10.7500775933424,106.679004274238,"Đường Hưng Phú, Phường 8, Quận 8, Hồ Chí Minh",Quận 8,Hồ Chí Minh
Biệt thự,39.0,297.3,6,5,4,Sổ đỏ/ Sổ hồng,Cơ bản,,10.8142988760084,106.780855241393,"Đường Diệp Minh Tuyền, Phường Phước Long B, Quận 9, Hồ Chí Minh",Quận 9,Hồ Chí Minh
Biệt thự,1.5,75.0,3,4,3,Sổ đỏ/ Sổ hồng,Cơ bản,5.0,11.3865170117308,106.607697666574,"Dự án Phúc An Garden, Đường D11, Xã Trừ Văn Thố, Bàu Bàng, Bình Dương",Bàu Bàng,Bình Dương
Biệt thự,76.0,280.0,,,4,Sổ đỏ/ Sổ hồng,Không nội thất,14.0,21.0019911963715,105.96411779823,"Dự án Vinhomes Ocean Park Gia Lâm, Đường Hải Âu 1, Xã Kiêu Kỵ, Gia Lâm, Hà Nội",Gia Lâm,Hà Nội
Biệt thự,28.7,166.0,3,4,3,Hợp đồng mua bán,Nhà thô,,10.7951510929188,106.775605991395,"Dự án Lakeview City, Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh",Quận 2,Hồ Chí Minh
Biệt thự,25.5,142.41,4,5,4,HĐMB,,7.0,10.794773327028537,106.7763537758062,"Dự án Lakeview City, Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh",Quận 2,Hồ Chí Minh
Biệt thự,35.0,236.0,,,4,Sổ đỏ/ Sổ hồng,,25.0,21.019349161215494,105.95018444044348,"Dự án Lâm Viên Villas, Xã Đặng Xá, Gia Lâm, Hà Nội",Gia Lâm,Hà Nội
Biệt thự,32.0,150.0,,,4,Sổ đỏ/ Sổ hồng,Không nội thất,10.0,21.002459343985993,105.96418244070972,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,Hà Nội
Biệt thự,40.0,207.9,,,3,Sổ đỏ/ Sổ hồng,Đầy đủ,8.0,10.7866500042688,106.729345576077,"Đường Trần Não, Phường An Khánh, Quận 2, Hồ Chí Minh",Quận 2,Hồ Chí Minh
Biệt thự,12.9,97.5,6,5,5,Sổ đỏ/ Sổ hồng,Không nội thất,6.5,20.943442024743018,105.97997596397744,"Dự án Vinhomes Ocean Park 2, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",Văn Giang,Hưng Yên
Biệt thự,9.0,63.0,6,5,5,Sổ đỏ/ Sổ hồng,Không nội thất,4.5,20.9431153187642,105.979085512837,"Dự án Vinhomes Ocean Park 2, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",Văn Giang,Hưng Yên
Biệt thự,,,,,4,,,,,,,Nam Từ Liêm,Hà Nội
Nhà mặt phố,,,,,4,,,,,,,Thuận An,Bình Dương
Căn hộ chung cư,,,,,3,,,,,,,Quận 7,Hồ Chí Minh
Nhà riêng,,,,,4,,,,,,,Bình Thạnh,Hồ Chí Minh
Biệt thự,,,,,4,,,,,,,Gia Lâm,Hà Nội
Nhà mặt phố,,,,,4,,,,,,,Quận 3,Hồ Chí Minh
Căn hộ chung cư,,,,,3,,,,,,,Quận 9,Hồ Chí Minh
Nhà riêng,,,,,4,,,,,,,Quận 9,Hồ Chí Minh
Biệt thự,,,,,4,,,,,,,Văn Giang,Hưng Yên
Nhà mặt phố,,,,,4,,,,,,,Quận 2,Hồ Chí Minh
Căn hộ chung cư,3.9,54.0,2,1,3,Sổ đỏ/ Sổ hồng,,,10.8411789715047,106.839248806621,"Dự án Masteri Centre Point, Phường Long Bình, Quận 9, Hồ Chí Minh",Quận 9,Hồ Chí Minh
Căn hộ chung cư,9.15,89.0,3,2,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,21.084546302479872,105.79082448920616,"Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,Hà Nội
Căn hộ chung cư,6.7,108.0,3,2,3,Hợp đồng mua bán,Đầy đủ,,10.84437684154624,106.8455334926117,"Dự án The Beverly Solari - Vinhomes Grand Park, Phường Long Bình, Quận 9, Hồ Chí Minh",Quận 9,Hồ Chí Minh
Căn hộ chung cư,1.9,72.0,2,2,3,Sổ đỏ/ Sổ hồng,Cơ bản,,21.576275354037683,105.81335949718668,"Dự án Tecco Elite City, Đường Quang Trung, Phường Thịnh Đán, Thái Nguyên, Thái Nguyên",Thái Nguyên,Thái Nguyên
Căn hộ chung cư,29.0,132.3,3,2,3,Sổ đỏ/ Sổ hồng ( sử dụng chung),,,10.7818511614984,106.719183823574,"Dự án The River Thủ Thiêm, Đường Trần Bạch Đằng, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",Quận 2,Hồ Chí Minh
Căn hộ chung cư,31.0,138.0,3,2,3,Sổ đỏ/ Sổ hồng,"Đầy đủ - Giá cho thuê nhà nội thất cơ bản: Máy lạnh, máy rửa chén, lò nướng, máy nước nóng, bếp, máy hút mùi, tủ áo, tủ giày, thiết bị vệ sinh thông minh",,10.782401449111692,106.71931287053587,"Dự án The River Thủ Thiêm, Đường Trần Bạch Đằng, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",Quận 2,Hồ Chí Minh
Căn hộ chung cư,18.0,94.0,2,2,3,Sổ đỏ/ Sổ hồng,Cơ bản,,10.782568470103396,106.71942609234944,"Dự án The River Thủ Thiêm, Đường Trần Bạch Đằng, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",Quận 2,Hồ Chí Minh
Căn hộ chung cư,17.8,94.0,2,2,3,Sổ đỏ/ Sổ hồng,Cơ bản,,10.782980697385003,106.719899142412,"Dự án The River Thủ Thiêm, Đường Trần Bạch Đằng, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",Quận 2,Hồ Chí Minh
Căn hộ chung cư,4.45,54.4,2,,3,Sổ đỏ,Full,,21.006390589730504,105.73713867322104,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Hà Nội
Căn hộ chung cư,4.3,42.0,1,1,3,Sổ đỏ/ Sổ hồng,Nội thất đẹp: Bàn giao như ảnh,,20.994530899104724,105.9509407910852,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội",Gia Lâm,Hà Nội
Căn hộ chung cư,10.9,160.0,2,2,3,Đang chờ sổ,Cơ bản,,21.027428917254177,105.84057317125978,"Dự án Diamond Alnata, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",Tân Phú,Hồ Chí Minh
Căn hộ chung cư,4.4,41.9,1,1,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,21.0061143903131,105.737239565271,"Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Hà Nội
Căn hộ chung cư,1.25,59.0,2,2,3,Hợp đồng mua bán,,,10.859922841926377,106.6014508828421,"Dự án HQC Hóc Môn, Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh",Hóc Môn,Hồ Chí Minh
Căn hộ chung cư,1.1,55.0,2,2,3,Hợp đồng mua bán,Nhà trống tiện decor nội thất theo mong muốn của khách hàng,,10.6939901274437,106.609905823421,"Dự án HQC Plaza, Đường Nguyễn Văn Linh, Xã An Phú Tây, Bình Chánh, Hồ Chí Minh",Bình Chánh,Hồ Chí Minh
Căn hộ chung cư,2.3,78.8,2,2,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,10.9711847091951,106.66522515912,"Dự án C-SkyView, Đường D8, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",Thủ Dầu Một,Bình Dương
Căn hộ chung cư,28.0,115.0,2,2,3,Hợp đồng mua bán,Đầy đủ,,10.7790393501319,106.715578321283,"Dự án The Crest Residence, Đường Đại Lộ Vòng Cung, Phường An Khánh, Quận 2, Hồ Chí Minh",Quận 2,Hồ Chí Minh
Căn hộ chung cư,2.1,35.59,1,1,3,Sổ đỏ/ Sổ hồng,,,10.768933065245,106.6785618139,"Đường Nguyễn Thiện Thuật, Phường 1, Quận 3, Hồ Chí Minh",Quận 3,Hồ Chí Minh
Căn hộ chung cư,16.1,94.0,2,2,3,Đã nhận sổ,Nội thất cơ bản,,10.7823463124862,106.718966036958,"Dự án The River Thủ Thiêm, Đường Nguyễn Cơ Thạch, Phường An Khánh, Quận 2, Hồ Chí Minh",Quận 2,Hồ Chí Minh
Căn hộ chung cư,1.9,35.0,1,1,3,Sổ đỏ/ Sổ hồng,,,10.7667723043938,106.69299747509,"Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",Quận 1,Hồ Chí Minh
Căn hộ chung cư,2.53,53.0,2,1,3,Sổ đỏ/ Sổ hồng,,,10.7854935863217,106.667989612487,"Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh",Quận 10,Hồ Chí Minh
Nhà riêng,12.9,61.7,4,5,4,Sổ hồng,,8.0,10.7150211395729,106.734034640135,"Đường Số 2, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",Quận 7,Hồ Chí Minh
Nhà riêng,7.49,60.0,4,4,3,Sổ đỏ/ Sổ hồng,Đầy đủ,4.0,10.727511544219,106.733005591212,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Quận 7,Hồ Chí Minh
Nhà riêng,6.5,42.0,4,3,5,Sổ đỏ/ Sổ hồng,Đầy đủ,4.5,10.7500775933424,106.679004274238,"Đường Hưng Phú, Phường 8, Quận 8, Hồ Chí Minh",Quận 8,Hồ Chí Minh
Nhà riêng,10.3,40.0,3,,5,Sổ đỏ/ Sổ hồng,Full,,10.8106043010544,106.701673571999,"Đường Chu Văn An, Phường 12, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,Hồ Chí Minh
Nhà riêng,3.5,80.0,3,3,3,Sổ đỏ/ Sổ hồng,Đầy đủ,6.0,10.9594631109523,106.541696294386,"Đường Cây Da, Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh",Củ Chi,Hồ Chí Minh
Nhà riêng,25.0,110.0,,,4,Sổ đỏ/ Sổ hồng,,,10.7598751295916,106.67908108076,"Đường An Dương Vương, Phường 4, Quận 5, Hồ Chí Minh",Quận 5,Hồ Chí Minh
Nhà riêng,6.95,56.0,4,5,4,Sổ đỏ/ Sổ hồng,,4.0,10.6847469287344,106.749911598975,"Đường Đào Tông Nguyên, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",Nhà Bè,Hồ Chí Minh
Nhà riêng,14.0,115.0,5,6,5,Sổ đỏ/ Sổ hồng,,,10.8139661951449,106.697586585763,"Đường Nơ Trang Long, Phường 11, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,Hồ Chí Minh
Nhà riêng,15.8,126.0,4,5,3,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp,20.0,10.8083175486578,106.631062201179,"Đường Nguyễn Hữu Dật, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",Tân Phú,Hồ Chí Minh
Nhà riêng,12.7,49.2,4,4,5,Sổ đỏ/ Sổ hồng,Đầy đủ,4.0,10.7897952935885,106.646475689733,"Đường Phạm Phú Thứ, Phường 11, Tân Bình, Hồ Chí Minh",Tân Bình,Hồ Chí Minh
Nhà riêng,4.65,40.0,2,2,2,Có sổ,,4.0,10.7825738160859,106.608920679999,"Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",Bình Tân,Hồ Chí Minh
Nhà riêng,6.38,42.0,3,4,4,Sổ hồng,Đầy đủ,4.0,10.8387857999924,106.659380650823,"Phường 11, Gò Vấp, Hồ Chí Minh",Gò Vấp,Hồ Chí Minh
Nhà riêng,7.59,38.8,4,4,4,Sổ đỏ/ Sổ hồng,Cơ bản,4.0,10.8084196192258,106.687763455221,"Đường Hoàng Hoa Thám, Phường 6, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,Hồ Chí Minh
Nhà riêng,5.28,103.0,4,4,3,Sổ đỏ/ Sổ hồng,Đầy đủ,4.0,10.7186089730423,106.630001851751,"Đường Mai Hắc Đế, Phường 15, Quận 8, Hồ Chí Minh",Quận 8,Hồ Chí Minh
Nhà riêng,22.0,105.0,,,3,Sổ đỏ/ Sổ hồng,,,10.807866681074,106.780018153034,"Đường 16, Phường An Phú, Quận 2, Hồ Chí Minh",Quận 2,Hồ Chí Minh
Nhà riêng,23.0,61.65,5,4,5,Sổ đỏ/ Sổ hồng,Cơ bản,4.9,10.7712683658995,106.690845702687,"Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh",Quận 1,Hồ Chí Minh
Nhà riêng,7.9,38.3,3,2,2,Sổ đỏ/ Sổ hồng,,,10.7909924939313,106.656900490776,"Đường Cách Mạng Tháng Tám, Phường 7, Tân Bình, Hồ Chí Minh",Tân Bình,Hồ Chí Minh
Nhà riêng,5.7,20.6,2,2,3,Sổ đỏ/ Sổ hồng,Full,3.6,10.7606036522588,106.691339437989,"Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, Hồ Chí Minh",Quận 1,Hồ Chí Minh
Nhà riêng,17.0,62.0,5,6,6,Sổ đỏ/ Sổ hồng,Đầy đủ,4.2,10.7881663554103,106.678271146878,"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",Quận 3,Hồ Chí Minh
Nhà riêng,19.0,165.0,,,2,Sổ đỏ/ Sổ hồng,,5.1,10.8091175680295,106.690073946418,"Đường Lê Trực, Phường 7, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,Hồ Chí Minh
Biệt thự,22.5,180.0,6,,4,Sổ đỏ/ Sổ hồng,Đầy đủ,12.0,12.1980444195623,109.207210185387,"Khu đô thị biển An Viên, Vĩnh Trường, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa
Biệt thự,26.2,243.5,,,5,Sổ đỏ/ Sổ hồng,,,21.069164963121,105.710580383104,"Dự án Lideco, Đường Quốc lộ 32, Thị trấn Trạm Trôi, Hoài Đức, Hà Nội",Hoài Đức,Hà Nội
Biệt thự,57.0,92.7,,,4,Sổ đỏ/ Sổ hồng,Đầy đủ cao cấp,6.0,21.0365588735059,105.761047063798,"Dự án Vinhomes Gardenia, Đường Hàm Nghi, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Hà Nội
Biệt thự,51.0,157.5,,,4,Sổ đỏ/ Sổ hồng,Không nội thất,12.0,20.9734080573742,105.87465792645,"Dự án Gamuda Gardens, Đường Pháp Vân, Phường Yên Sở, Hoàng Mai, Hà Nội",Hoàng Mai,Hà Nội
Biệt thự,7.5,48.0,,,4,Sổ đỏ/ Sổ hồng,Không nội thất,4.0,20.9431229787481,105.979119353101,"Dự án Vinhomes Ocean Park 2, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",Văn Giang,Hưng Yên
Biệt thự,14.0,155.5,4,4,3,Sổ đỏ/ Sổ hồng,,8.0,10.8098528092774,106.821275819764,"Dự án Đông Tăng Long, Đường N11, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",Quận 9,Hồ Chí Minh
Biệt thự,14.5,117.0,10,6,3,"Bán tòa nhà căn hộ Thông Thiên Học, P. 2, Đà Lạt. - Diện tích đất: 117m Diện tích sàn: 450m. - Pháp lý: Sổ riêng xây dựng. - Kết cấu: 1 hầm 1 trệt 2 lầu 1 áp mái. - Tổng số căn: 5 căn hộ mini cao cấp. - Layout mỗi căn: Phòng khách + bếp + 2 phòng ngủ + 1",Đầy đủ,11.0,11.9541495169509,108.437559003426,"Đường Thông Thiên Học, Phường 2, Đà Lạt, Lâm Đồng",Đà Lạt,Lâm Đồng
Biệt thự,14.4,216.0,,,4,Sổ đỏ/ Sổ hồng,,,21.0773568887889,105.97194109935,"Dự án Centa City, Đường Hữu Nghị, Phường Phù Chẩn, Từ Sơn, Bắc Ninh",Từ Sơn,Bắc Ninh
Biệt thự,29.0,293.0,4,5,3,Sổ đỏ/ Sổ hồng,Đầy đủ,20.0,12.2565524870169,109.167273615112,"Vĩnh Điềm Trung, Đường C8, Xã Vĩnh Hiệp, Nha Trang, Khánh Hòa",Nha Trang,Khánh Hòa
Biệt thự,33.0,145.0,,,3,Sổ đỏ/ Sổ hồng,,,10.783183052733856,106.7474307600133,"Dự án Khu dân cư Sông Giồng, Đường 58, Phường An Phú, Quận 2, Hồ Chí Minh",Quận 2,Hồ Chí Minh
Biệt thự,25.6,97.0,6,7,5,Sổ đỏ/ Sổ hồng,,4.2,20.9738525801351,105.789005195132,"Dự án KĐT Văn Quán, Đường Nguyễn Khuyến, Phường Văn Quán, Hà Đông, Hà Nội",Hà Đông,Hà Nội
Biệt thự,8.2,101.0,4,6,5,Sổ đỏ/ Sổ hồng,,,10.909006240192292,106.7963947284407,"Dự án Phú Hồng Thịnh 9, Đường Quốc lộ 1K, Phường Bình An, Dĩ An, Bình Dương",Dĩ An,Bình Dương
Biệt thự,9.0,105.0,4,4,3,Sổ đỏ/ Sổ hồng,Đầy đủ,7.0,10.777958884209394,106.9440131672775,"Dự án Khu đô thị ID Junction, Thị trấn Long Thành, Long Thành, Đồng Nai",Long Thành,Đồng Nai
Biệt thự,32.5,95.0,7,6,5,Sổ đỏ/ Sổ hồng,,,10.802195791513237,106.77710275786674,"Dự án The Global City, Đường Đỗ Xuân Hợp, Phường An Phú, Quận 2, Hồ Chí Minh",Quận 2,Hồ Chí Minh
Biệt thự,8.0,80.0,3,3,3,Sổ đỏ/ Sổ hồng,Đầy đủ,5.0,10.6986918356106,106.642020027349,"Dự án Lovera Park, Đường Thiên Lý, Xã Phong Phú, Bình Chánh, Hồ Chí Minh",Bình Chánh,Hồ Chí Minh
Biệt thự,32.0,111.0,4,4,3,Sổ đỏ/ Sổ hồng,,,20.9707847360859,105.872538182677,"Dự án Gamuda Gardens, Đường Pháp Vân, Phường Yên Sở, Hoàng Mai, Hà Nội",Hoàng Mai,Hà Nội
Biệt thự,19.0,72.5,5,4,5,Sổ đỏ/ Sổ hồng,Không nội thất,,20.953293857600045,105.78420257517897,"Dự án Kiến Hưng Luxury, Đường Phúc La, Phường Kiến Hưng, Hà Đông, Hà Nội",Hà Đông,Hà Nội
Biệt thự,19.9,73.5,6,5,5,Sổ đỏ/ Sổ hồng,,7.0,20.9532286426424,105.785008388419,"Dự án Kiến Hưng Luxury, Đường Phúc La, Phường Kiến Hưng, Hà Đông, Hà Nội",Hà Đông,Hà Nội
Biệt thự,13.0,168.0,,,3,Sổ đỏ/ Sổ hồng,,8.0,10.8090013172308,106.82149958085,"Dự án Đông Tăng Long, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",Quận 9,Hồ Chí Minh
Biệt thự,27.0,148.5,,,4,Sổ đỏ/ Sổ hồng,,8.3,21.002387361268102,105.96407840907152,"Dự án Vinhomes Ocean Park Gia Lâm, Đường Sao Biển, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,Hà Nội
Nhà mặt phố,12.5,25.0,1,1,2,Sổ đỏ/ Sổ hồng,Không nội thất,10.5,10.7849263770401,106.677547681283,"Đường Trường Sa, Phường 13, Quận 3, Hồ Chí Minh",Quận 3,Hồ Chí Minh
Nhà mặt phố,46.0,91.0,,,6,Sổ đỏ/ Sổ hồng,,7.85,10.7837060941129,106.696873043037,"Đường Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",Quận 3,Hồ Chí Minh
Nhà mặt phố,11.5,100.0,7,,5,Sổ đỏ/ Sổ hồng,Đầy đủ,5.0,16.0175984536841,108.256261285271,"Đường Phạm Khiêm Ích, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Ngũ Hành Sơn,Đà Nẵng
Nhà mặt phố,26.0,158.0,5,6,5,Sổ đỏ/ Sổ hồng,Đầy đủ,,10.7891426540074,106.703505140283,"Đường Nguyễn Bỉnh Khiêm, Phường 1, Gò Vấp, Hồ Chí Minh",Gò Vấp,Hồ Chí Minh
Nhà mặt phố,41.0,58.0,7,7,7,Sổ đỏ/ Sổ hồng,Cơ bản,6.3,21.0139739001145,105.821731212,"Đường Đặng Tiến Đông, Phường Trung Liệt, Đống Đa, Hà Nội",Đống Đa,Hà Nội
Nhà mặt phố,9.99,53.5,5,3,4,Sổ đỏ/ Sổ hồng,Cơ bản,,10.7934207840279,106.65200734511,"Đường Nguyễn Bá Tòng, Phường 11, Tân Bình, Hồ Chí Minh",Tân Bình,Hồ Chí Minh
Nhà mặt phố,18.5,42.1,6,5,5,Sổ đỏ/ Sổ hồng,Đầy đủ,4.0,21.0114296017934,105.857065239969,"Phố Cảm Hội, Phường Đồng Nhân, Hai Bà Trưng, Hà Nội",Hai Bà Trưng,Hà Nội
Nhà mặt phố,10.6,90.0,3,3,3,Sổ đỏ/ Sổ hồng,Đầy đủ,4.5,16.0295771751306,108.221504554397,"Đường Nơ Trang Long, Phường Hòa Cường Nam, Hải Châu, Đà Nẵng",Hải Châu,Đà Nẵng
Nhà mặt phố,9.8,100.0,3,3,3,Sổ đỏ/ Sổ hồng,Không nội thất,5.0,16.0361422385361,108.243336071548,"Đường Mỹ Đa Tây 9, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Ngũ Hành Sơn,Đà Nẵng
