address,area,city_province,district,front_width,interior,latitude,legal,longitude,n_bathrooms,n_bedrooms,n_floors,price,property_type,source,price_per_m2,log_price,log_price_per_m2,is_apartment,is_house,is_villa,has_interior_info,interior_score,legal_score,address_norm
"Dự án Vinhomes Gardenia, Đường Hàm Nghi, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",193.0,Hà Nội,Nam Từ Liêm,7.0,,21.036591842518224,Sổ riêng,105.76066434225535,6.0,6.0,5.0,75.0,Biệt thự,batdongsancomvn,388.60103626943004,4.330733340286331,5.965123231593975,0,0,1,0,,4,du an vinhomes gardenia duong ham nghi phuong cau dien nam tu liem ha noi
"Dự án Thanh Xuân Valley, Xã Ngọc Thanh, Phúc Yên, Vĩnh Phúc",323.0,Vĩnh Phúc,Phúc Yên,6.6,Không nội thất,21.3534335008836,Không có,105.746237623349,4.0,4.0,3.0,22.61,Biệt thự,batdongsancomvn,70.0,3.1616703510974213,4.2626798770413155,0,0,1,1,0.0,0,du an thanh xuan valley xa ngoc thanh phuc yen vinh phuc
"Dự án Verosa Park, Đường Số 5, Phường Phú Hữu, Quận 9, Hồ Chí Minh",132.4,Hồ Chí Minh,Quận 9,6.0,Không nội thất,10.8055360006556,Sổ riêng,106.789521624102,5.0,4.0,4.0,21.86,Biệt thự,batdongsancomvn,165.10574018126889,3.1293886583666644,5.112624574608923,0,0,1,1,0.0,4,du an verosa park duong so 5 phuong phu huu quan 9 ho chi minh
"Dự án Mailand Hanoi City, Đường Đại lộ Thăng Long, Xã An Khánh, Hoài Đức, Hà Nội",325.2,Hà Nội,Hoài Đức,12.5,Không nội thất,21.015054968063545,Sổ riêng,105.72485524240884,5.0,5.0,4.0,53.658,Biệt thự,batdongsancomvn,165.0,4.00109559000247,5.111987788356544,0,0,1,1,0.0,4,du an mailand hanoi city duong dai lo thang long xa an khanh hoai duc ha noi
"Dự án Thanh Xuân Valley, Xã Ngọc Thanh, Phúc Yên, Vĩnh Phúc",323.0,Vĩnh Phúc,Phúc Yên,12.0,Nội thất cơ bản,21.3539862017304,Không có,105.747115540418,5.0,5.0,3.0,18.8,Biệt thự,batdongsancomvn,58.204334365325074,2.9856819377004897,4.080994754840318,0,0,1,1,1.0,0,du an thanh xuan valley xa ngoc thanh phuc yen vinh phuc
"Dự án KĐT Vạn Phúc City, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",171.0,Hồ Chí Minh,Thủ Đức,9.0,Nội thất đầy đủ,10.8448984491717,Sổ riêng,106.717757248469,5.0,3.0,4.0,34.2,Biệt thự,batdongsancomvn,200.0,3.5610460826040513,5.303304908059076,0,0,1,1,2.0,4,du an kdt van phuc city phuong hiep binh phuoc thu duc ho chi minh
"Dự án Vinhomes Ocean Park Gia Lâm, Đường Ngọc Trai 8, Xã Đa Tốn, Gia Lâm, Hà Nội",66.0,Hà Nội,Gia Lâm,5.5,Không nội thất,21.0024565161958,Sổ riêng,105.964091237262,4.0,3.0,3.0,19.0,Biệt thự,batdongsancomvn,287.8787878787879,2.995732273553991,5.666007181027098,0,0,1,1,0.0,4,du an vinhomes ocean park gia lam duong ngoc trai 8 xa da ton gia lam ha noi
"Dự án Solasta Mansion, Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội",170.0,Hà Nội,Hà Đông,6.875,,20.97662806873877,Không có,105.7616358421211,5.0,3.0,4.0,30.0,Biệt thự,batdongsancomvn,176.47058823529412,3.4339872044851463,5.178804895102845,0,0,1,0,,0,du an solasta mansion duong to huu phuong duong noi ha dong ha noi
"La Vida Residences, Đường 3/2, Phường 12, Vũng Tàu, Bà Rịa Vũng Tàu",170.0,Bà Rịa Vũng Tàu,Vũng Tàu,10.0,Không nội thất,10.39564341125,Không có,107.148145211976,4.0,4.0,3.0,13.5,Biệt thự,batdongsancomvn,79.41176470588235,2.6741486494265287,4.387160492667733,0,0,1,1,0.0,0,la vida residences duong 3 2 phuong 12 vung tau ba ria vung tau
"Thảo Nguyên Sài Gòn, 32, Đường D1, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",415.3,Hồ Chí Minh,Quận 9,13.24,Nội thất đầy đủ,10.8669772607584,Sổ riêng,106.817428279808,6.0,6.0,3.0,36.0,Biệt thự,batdongsancomvn,86.68432458463761,3.6109179126442243,4.4737431443446845,0,0,1,1,2.0,4,thao nguyen sai gon 32 duong d1 phuong long thanh my quan 9 ho chi minh
"Đường Trần Thanh Mại, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",88.0,Hồ Chí Minh,Bình Tân,4.0,Nội thất cơ bản,10.7533506512279,Sổ riêng,106.588653676734,4.0,6.0,2.0,9.0,Nhà riêng,batdongsancomvn,102.27272727272727,2.302585092994046,4.637373326482726,0,1,0,1,1.0,4,duong tran thanh mai phuong tan tao binh tan ho chi minh
"Đường Quang Trung, Phường Phú La, Hà Đông, Hà Nội",83.5,Hà Nội,Hà Đông,5.0,,20.95614446966,Sổ riêng,105.76603874316,4.0,5.0,2.0,16.8,Nhà riêng,batdongsancomvn,201.19760479041915,2.8791984572980396,5.309245460771497,0,1,0,0,,4,duong quang trung phuong phu la ha dong ha noi
"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Hồ Chí Minh",280.0,Hồ Chí Minh,Quận 6,6.0,Nội thất cơ bản,10.7380197616114,Sổ riêng,106.628435851092,10.0,11.0,4.0,35.0,Nhà riêng,batdongsancomvn,125.0,3.58351893845611,4.836281906951478,0,1,0,1,1.0,4,duong ly chieu hoang phuong 10 quan 6 ho chi minh
"Phố Khúc Thừa Dụ, Phường Dịch Vọng, Cầu Giấy, Hà Nội",173.7,Hà Nội,Cầu Giấy,8.0,,21.032767866038,Sổ riêng,105.791872437926,6.0,4.0,1.0,164.0,Nhà riêng,batdongsancomvn,944.1565918249856,5.10594547390058,6.851350619400986,0,1,0,0,,4,pho khuc thua du phuong dich vong cau giay ha noi
"271 Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh",57.8,Hồ Chí Minh,Tân Bình,3.8,,10.808504855385,Sổ riêng,106.688486866643,4.0,4.0,1.0,17.9,Nhà riêng,batdongsancomvn,309.6885813148789,2.9391619220655967,5.738791064242732,0,1,0,0,,4,271 duong hoang hoa tham phuong 13 tan binh ho chi minh
"Đường Lý Thái Tổ, Phường Sơn Phong, Hội An, Quảng Nam",193.5,Quảng Nam,Hội An,5.0,,15.8862774458876,Không có,108.333874556897,3.0,3.0,1.0,18.0,Nhà riêng,batdongsancomvn,93.02325581395348,2.9444389791664403,4.543542153947208,0,1,0,0,,0,duong ly thai to phuong son phong hoi an quang nam
"Số 82, Đường Đàm Thận Huy, Phường Tân Quý, Tân Phú, Hồ Chí Minh",95.0,Hồ Chí Minh,Tân Phú,4.27,,10.7888756981783,Sổ riêng,106.624939298962,9.0,7.0,6.0,14.0,Nhà riêng,batdongsancomvn,147.3684210526316,2.70805020110221,4.999698511947672,0,1,0,0,,4,so 82 duong dam than huy phuong tan quy tan phu ho chi minh
"Đường Nguyễn Văn Đậu, Phường 11, Bình Thạnh, Hồ Chí Minh",90.0,Hồ Chí Minh,Bình Thạnh,4.0,,10.8120429095969,Sổ riêng,106.692494876001,2.0,2.0,2.0,15.6,Nhà riêng,batdongsancomvn,173.33333333333334,2.8094026953624973,5.160969175396813,0,1,0,0,,4,duong nguyen van dau phuong 11 binh thanh ho chi minh
"Đường Quốc lộ 14C, Xã Quảng Trực, Tuy Đức, Đắk Nông",800.0,Đắk Nông,Tuy Đức,16.0,,11.9963855303966,Sổ riêng,107.512430817089,3.0,3.0,1.0,4.0,Nhà riêng,batdongsancomvn,5.0,1.6094379124341003,1.791759469228055,0,1,0,0,,4,duong quoc lo 14c xa quang truc tuy duc dak nong
"Dự án Khu đô thị Cát Lái, Đường Đồng Văn Cống, Phường Cát Lái, Quận 2, Hồ Chí Minh",159.0,Hồ Chí Minh,Quận 2,10.0,Nội thất đầy đủ,10.772088223851,Sổ riêng,106.767244243557,4.0,5.0,5.0,19.9,Nhà riêng,batdongsancomvn,125.15723270440252,3.039749158970765,4.837529007604466,0,1,0,1,2.0,4,du an khu do thi cat lai duong dong van cong phuong cat lai quan 2 ho chi minh
"248, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",65.8,Hà Nội,Hai Bà Trưng,5.34,,20.9959267707574,Sổ riêng,105.874008082755,5.0,3.5,1.0,23.5,Nhà riêng,batdongsancomvn,357.14285714285717,3.1986731175506815,5.880931949102981,0,1,0,0,,4,248 duong duong van be phuong vinh tuy hai ba trung ha noi
"Đường Phạm Ngũ Lão, Phường 1, Gò Vấp, Hồ Chí Minh",44.5,Hồ Chí Minh,Gò Vấp,3.5,Nội thất cơ bản,10.8234162094596,Sổ riêng,106.682036102599,1.0,2.0,1.0,7.55,Nhà riêng,batdongsancomvn,169.6629213483146,2.145931282948669,5.139690390905879,0,1,0,1,1.0,4,duong pham ngu lao phuong 1 go vap ho chi minh
