Unnamed: 0,property_type,price,area,n_bedrooms,n_bathrooms,n_floors,address,city_province,district,legal,front_width,raw_area,latitude,longitude
4686,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4687,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
4688,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
4689,Biệt thự,12.2,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m² (17,0x18,5)",15.3864073,108.7029729
4690,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4691,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
4692,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
4693,Biệt thự,12.2,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m² (17,0x18,5)",15.3864073,108.7029729
4694,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4695,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
4696,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
4697,Biệt thự,12.2,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m² (17,0x18,5)",15.3864073,108.7029729
4698,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4699,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
