Unnamed: 0,property_type,price,area,n_bedrooms,n_bathrooms,n_floors,address,city_province,district,legal,front_width,raw_area,latitude,longitude
4532,Nhà mặt tiền,19.95,149.0,4,3,3,"Phường Nam Lý, TP. Đồng Hới, Quảng Bình",Quảng Bình,TP. Đồng Hới,Giấy tờ hợp lệ,8.0,"149 m²(8,0x19,0)",,
4533,Mặt tiền,3.5,200.0,3,2,2,"Thị Trấn Hoàn Lão, Huyện Bố Trạch, Quảng Bình",Quảng Bình,Huyện Bố Trạch,Giấy tờ hợp lệ,10.0,"200 m²(10,0x20,0)",17.6107777,106.3112972
4534,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4535,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
4536,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
4537,Biệt thự,12.2,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m² (17,0x18,5)",15.3864073,108.7029729
4538,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4539,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
4540,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
4541,Biệt thự,12.2,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m² (17,0x18,5)",15.3864073,108.7029729
4542,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4543,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
4544,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
4545,Biệt thự,12.2,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m² (17,0x18,5)",15.3864073,108.7029729
4546,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4547,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
4548,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
