address,area,city_province,district,front_road_width,interior,latitude,legal,longitude,n_bathrooms,n_bedrooms,n_floors,price,property_type,source,has_interior_info,price_per_m2
"Đường Cao Thắng, Phường 12, Quận 10, Hồ Chí Minh",95.2,Hồ Chí Minh,Quận 10,4.5,,10.7736734653287,Sổ riêng,106.677782551203,5.0,5.0,7.0,24.0,Nhà riêng,batdongsancomvn,0,252.10084033613444
"Đường Nguyễn Tri Phương, Phường 9, Quận 10, Hồ Chí Minh",96.2,Hồ Chí Minh,Quận 10,4.5,,10.7658992025614,Sổ riêng,106.667689782921,5.0,5.0,3.0,19.5,Nhà riêng,batdongsancomvn,0,202.7027027027027
"Đường Tân Thới Hiệp 21, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",104.0,Hồ Chí Minh,Quận 12,5.8,,10.8632979405914,Không có,106.639509807521,1.0,2.0,3.0,5.3,Nhà riêng,batdongsancomvn,0,50.96153846153846
"Đường Bùi Đình Túy, Phường 24, Bình Thạnh, Hồ Chí Minh",28.5,Hồ Chí Minh,Bình Thạnh,4.5,Nội thất đầy đủ,10.8082040356021,Sổ riêng,106.703896779083,2.0,2.0,2.0,5.45,Nhà riêng,batdongsancomvn,1,191.2280701754386
"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",64.0,Hồ Chí Minh,Quận 7,4.0,Nội thất đầy đủ,10.7142248215537,Sổ riêng,106.737024436435,4.0,4.0,4.0,7.39,Nhà riêng,batdongsancomvn,1,115.46875
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",60.8,Hồ Chí Minh,Quận 7,4.0,Nội thất đầy đủ,10.7267422461911,Sổ riêng,106.733821688591,5.0,4.0,3.0,6.79,Nhà riêng,batdongsancomvn,1,111.67763157894737
"Hẻm 167, Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",62.0,Hồ Chí Minh,Quận 7,5.7,Nội thất đầy đủ,10.7471007892843,Sổ riêng,106.728886073502,3.0,4.0,3.0,6.79,Nhà riêng,batdongsancomvn,1,109.51612903225806
"Đường Lê Văn Sỹ, Phường 13, Quận 3, Hồ Chí Minh",113.0,Hồ Chí Minh,Quận 3,8.45,,10.7876332937702,Sổ riêng,106.677946655962,17.0,16.0,5.0,33.0,Nhà riêng,batdongsancomvn,0,292.0353982300885
"Đường D3, Phường 25, Bình Thạnh, Hồ Chí Minh",73.2,Hồ Chí Minh,Bình Thạnh,5.0,,10.8040661713017,Sổ riêng,106.716973355331,4.0,4.0,3.0,15.5,Nhà riêng,batdongsancomvn,0,211.7486338797814
"Đường Trần Thánh Tông, Phường 15, Tân Bình, Hồ Chí Minh",48.8,Hồ Chí Minh,Tân Bình,4.2,Nội thất cơ bản,10.8284468463648,Sổ riêng,106.639648210653,2.0,2.0,2.0,7.2,Nhà riêng,batdongsancomvn,1,147.54098360655738
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",77.4,Hồ Chí Minh,Gò Vấp,4.3,,10.8499797361551,Không có,106.650934158283,3.0,5.0,5.0,9.5,Nhà riêng,batdongsancomvn,0,122.73901808785529
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",55.2,Hồ Chí Minh,Gò Vấp,4.3,Nội thất đầy đủ,10.8482903020551,Sổ riêng,106.647819082823,2.0,2.0,2.0,6.6,Nhà riêng,batdongsancomvn,1,119.56521739130434
"Đường Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",59.0,Hồ Chí Minh,Bình Thạnh,8.3,Nội thất đầy đủ,10.8151943958123,Sổ riêng,106.708022095698,7.0,6.0,4.0,7.9,Nhà riêng,batdongsancomvn,1,133.89830508474577
"Hẻm 36, Đường Nguyễn Gia Trí, Phường 25, Bình Thạnh, Hồ Chí Minh",80.0,Hồ Chí Minh,Bình Thạnh,4.0,,10.8033638754708,Sổ riêng,106.716729007411,4.0,4.0,5.0,23.3,Nhà riêng,batdongsancomvn,0,291.25
"Đường Vòng Vạn Mỹ, Phường Vạn Mỹ, Ngô Quyền, Hải Phòng",78.4,Hải Phòng,Ngô Quyền,5.6,,20.8632154391225,Sổ riêng,106.711275742623,5.0,4.0,5.0,7.5,Nhà riêng,batdongsancomvn,0,95.66326530612244
"Đường Phan Xích Long, Phường 3, Phú Nhuận, Hồ Chí Minh",66.0,Hồ Chí Minh,Phú Nhuận,5.2,,10.8010877995028,Không có,106.683899431875,9.0,8.0,4.0,13.69,Nhà riêng,batdongsancomvn,0,207.42424242424244
"Vinhomes Green City, N2, Hậu Nghĩa, Đức Hòa, Long An",75.0,Long An,Đức Hòa,20.0,,10.908158063735677,Không có,106.3867750086574,3.0,3.0,4.0,6.0,Biệt thự,batdongsancomvn,0,80.0
"Dự án Izumi City, Xã Long Hưng, Biên Hòa, Đồng Nai",248.0,Đồng Nai,Biên Hòa,12.0,,10.8598108473189,Sổ riêng,106.85475528137718,4.0,4.0,3.0,13.64,Biệt thự,batdongsancomvn,0,55.0
"Vinhomes Ocean Park 2, Long Hưng, Văn Giang, Hưng Yên",52.0,Hưng Yên,Văn Giang,4.0,Không nội thất,20.943659517778183,Sổ riêng,105.98047786801176,5.0,5.0,5.0,7.8,Biệt thự,batdongsancomvn,1,150.0
"Dự án Vinhomes Global Gate, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",75.0,Hà Nội,Đông Anh,6.0,Nội thất cơ bản,21.1155939886464,Sổ riêng,105.870366686716,5.0,6.0,6.0,18.0,Biệt thự,batdongsancomvn,1,240.0
"Dự án Eco Retreat Long An, Xã Thanh Phú, Bến Lức, Long An",220.0,Long An,Bến Lức,16.0,,10.665364466942822,Không có,106.49280957067316,4.0,4.0,2.0,17.88,Biệt thự,batdongsancomvn,0,81.27272727272727
"Vinhomes Ocean Park 2, Long Hưng, Văn Giang, Hưng Yên",91.0,Hưng Yên,Văn Giang,5.0,,20.94309018801242,Sổ riêng,105.98067271207708,5.0,5.0,6.0,15.2,Biệt thự,batdongsancomvn,0,167.03296703296704
"Dự án Vinhomes Golden City, Phường Hòa Nghĩa, Dương Kinh, Hải Phòng",70.0,Hải Phòng,Dương Kinh,5.0,,20.78572530527532,Sổ riêng,106.7016660042148,3.0,5.0,4.0,5.0,Biệt thự,batdongsancomvn,0,71.42857142857143
"Dự án Vinhomes Golden City, Phường Hòa Nghĩa, Dương Kinh, Hải Phòng",75.0,Hải Phòng,Dương Kinh,5.0,,20.7864909010026,Sổ riêng,106.702196531309,3.0,5.0,4.0,5.2,Biệt thự,batdongsancomvn,0,69.33333333333333
"Dự án Kita Capital Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội",150.0,Hà Nội,Tây Hồ,10.0,,21.078112221777367,Sổ riêng,105.81034764582957,5.0,5.0,5.0,52.5,Biệt thự,batdongsancomvn,0,350.0
"Vinhomes Ocean Park 3, Nghĩa Trụ, Văn Giang, Hưng Yên",120.0,Hưng Yên,Văn Giang,8.0,,20.940825062045015,Không có,105.95687770324992,5.0,5.0,5.0,17.5,Biệt thự,batdongsancomvn,0,145.83333333333334
"Dự án Vinhomes Golden City, Phường Hòa Nghĩa, Dương Kinh, Hải Phòng",70.0,Hải Phòng,Dương Kinh,5.0,,20.7857948744451,Sổ riêng,106.701852695257,3.0,5.0,4.0,5.0,Biệt thự,batdongsancomvn,0,71.42857142857143
"Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội",120.0,Hà Nội,Đan Phượng,8.0,Không nội thất,21.096427288256333,Không có,105.71205264948634,4.0,5.0,4.0,18.3,Biệt thự,batdongsancomvn,1,152.5
"Dự án Thanh Xuân Valley, Xã Ngọc Thanh, Phúc Yên, Vĩnh Phúc",160.0,Vĩnh Phúc,Phúc Yên,11.0,,21.35325774115913,Không có,105.74664678261428,4.0,4.0,3.0,15.0,Biệt thự,batdongsancomvn,0,93.75
"Dự án Aqua City, Xã Long Hưng, Biên Hòa, Đồng Nai",160.0,Đồng Nai,Biên Hòa,8.0,Không nội thất,10.86235197521662,Hợp đồng,106.8591990842827,4.0,4.0,3.0,7.9,Biệt thự,batdongsancomvn,1,49.375
"Dự án Noble Palace Tây Thăng Long, Đường Tây Thăng Long, Xã Tân Lập, Đan Phượng, Hà Nội",75.0,Hà Nội,Đan Phượng,5.0,Không nội thất,21.08972615466066,Không có,105.67053585116692,6.0,5.0,5.0,16.0,Biệt thự,batdongsancomvn,1,213.33333333333334
"Dự án Vinhomes Green Paradise, Xã Long Hòa, Cần Giờ, Hồ Chí Minh",411.7,Hồ Chí Minh,Cần Giờ,8.5,,10.385929110870055,Không có,106.91994328531403,3.0,3.5,3.5,49.3,Biệt thự,batdongsancomvn,0,119.7473888753947
"Dự án Vinhomes Green Paradise, Xã Long Hòa, Cần Giờ, Hồ Chí Minh",189.0,Hồ Chí Minh,Cần Giờ,8.5,,10.385163154713668,Không có,106.92030373399896,3.0,3.5,3.0,18.5,Biệt thự,batdongsancomvn,0,97.88359788359789
"Noble Palace Tây Thăng Long, Đường 32, Xã Tân Lập, Đan Phượng, Hà Nội",75.0,Hà Nội,Đan Phượng,5.0,,21.08975647443781,Không có,105.67092924440117,4.0,5.0,5.0,16.35,Biệt thự,batdongsancomvn,0,218.00000000000003
"Dự án Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",210.0,Hưng Yên,Văn Giang,15.0,Nội thất cơ bản,20.943944943589383,Không có,105.98059350952612,4.0,4.0,4.0,60.0,Biệt thự,batdongsancomvn,1,285.7142857142857
"Đường Đinh Đức Thiện, Xã Tân Quý Tây, Bình Chánh, Hồ Chí Minh",329.6,Hồ Chí Minh,Bình Chánh,5.0,,10.6561974259499,Sổ riêng,106.584064405723,2.0,4.0,1.0,13.0,Nhà riêng,batdongsancomvn,0,39.44174757281553
"Đường Lam Sơn, Phường Phước Hòa, Nha Trang, Khánh Hòa",411.0,Khánh Hòa,Nha Trang,18.0,Nội thất cơ bản,12.235821567523,Sổ riêng,109.183446314879,3.0,3.0,4.0,54.0,Nhà riêng,batdongsancomvn,1,131.38686131386862
"Đường Huỳnh Văn Nghệ, Phường Bửu Long, Biên Hòa, Đồng Nai",75.0,Đồng Nai,Biên Hòa,10.0,Không nội thất,10.9681829647268,Sổ riêng,106.797537310393,2.0,2.0,1.0,5.5,Nhà riêng,batdongsancomvn,1,73.33333333333333
"Đường Cô Bắc, Phường Cô Giang, Quận 1, Hồ Chí Minh",95.0,Hồ Chí Minh,Quận 1,4.0,Nội thất cơ bản,10.7640742729418,Sổ riêng,106.694121303217,7.0,7.0,4.0,42.0,Nhà riêng,batdongsancomvn,1,442.10526315789474
"Đường Lý Tế Xuyên, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",72.0,Hồ Chí Minh,Thủ Đức,5.0,Nội thất cơ bản,10.8557366091664,Sổ riêng,106.74560474268,3.0,3.0,3.0,10.8,Nhà riêng,batdongsancomvn,1,150.0
"Đường Số 33, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",400.0,Hồ Chí Minh,Bình Tân,20.0,,10.7534550451753,Sổ riêng,106.608335522622,3.0,3.0,6.0,62.0,Nhà riêng,batdongsancomvn,0,155.0
"Đường Kỳ Đồng, Phường 9, Quận 3, Hồ Chí Minh",583.2,Hồ Chí Minh,Quận 3,4.1,,10.7844537034172,Sổ riêng,106.683129979408,50.0,50.0,12.0,450.0,Nhà riêng,batdongsancomvn,0,771.6049382716049
"Đường Lê Quang Đạo, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",344.4,Đà Nẵng,Ngũ Hành Sơn,12.0,,16.0512301860185,Sổ riêng,108.245091579477,5.0,5.0,2.0,115.0,Nhà riêng,batdongsancomvn,0,333.9140534262486
"Đường ĐT 743C, Phường Bình Hòa, Thuận An, Bình Dương",261.8,Bình Dương,Thuận An,6.8,,10.9143311798022,Sổ riêng,106.740082490176,9.0,9.0,1.0,9.95,Nhà riêng,batdongsancomvn,0,38.006111535523296
"589C, Đường Điện Biên Phủ, Phường 1, Quận 3, Hồ Chí Minh",65.4,Hồ Chí Minh,Quận 3,3.11,Nội thất đầy đủ,10.7697079858167,Sổ riêng,106.675795359939,7.0,5.0,4.0,22.0,Nhà riêng,batdongsancomvn,1,336.3914373088685
"Đường Phan Bội Châu, Phường Phan Bội Châu, Hồng Bàng, Hải Phòng",115.4,Hải Phòng,Hồng Bàng,4.36,Nội thất cơ bản,20.8566236147345,Sổ riêng,106.676653870513,3.0,4.0,4.0,18.7,Nhà riêng,batdongsancomvn,1,162.04506065857885
"Đường Trần Phú, Phường Cẩm Thuỷ, Cẩm Phả, Quảng Ninh",69.5,Quảng Ninh,Cẩm Phả,6.07,Nội thất cơ bản,21.0100276712064,Sổ riêng,107.261294424534,3.0,4.0,4.0,8.5,Nhà riêng,batdongsancomvn,1,122.3021582733813
"Đường Số 1, Phường 13, Gò Vấp, Hồ Chí Minh",37.3,Hồ Chí Minh,Gò Vấp,4.3,,10.8543120988874,Sổ riêng,106.661889132014,1.0,2.0,4.0,4.1,Nhà riêng,batdongsancomvn,0,109.91957104557642
"Đường Ký Con, Phường Phan Bội Châu, Hồng Bàng, Hải Phòng",65.0,Hải Phòng,Hồng Bàng,3.9,,20.8558276208502,Sổ riêng,106.674068257421,3.0,4.0,4.0,15.5,Nhà riêng,batdongsancomvn,0,238.46153846153845
"Đường Lê Thị Riêng, Phường Thới An, Quận 12, Hồ Chí Minh",56.2,Hồ Chí Minh,Quận 12,5.0,Nội thất cơ bản,10.8755237802795,Sổ riêng,106.654773468145,2.0,2.0,2.0,7.4,Nhà riêng,batdongsancomvn,1,131.67259786476868
"33, Đường Dương Tử Giang, Phường 14, Quận 5, Hồ Chí Minh",61.0,Hồ Chí Minh,Quận 5,6.5,Không nội thất,10.7522352702904,Sổ riêng,106.655307400278,2.0,5.0,1.0,9.0,Nhà riêng,batdongsancomvn,1,147.54098360655738
"Đường Hùng Vương, Phường Hải Châu, Hải Châu, Đà Nẵng",80.0,Đà Nẵng,Hải Châu,4.3,Nội thất đầy đủ,16.0689753507963,Sổ riêng,108.220934942384,4.0,4.0,6.0,25.0,Nhà riêng,batdongsancomvn,1,312.5
"143 Đường Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",57.3,Hồ Chí Minh,Quận 1,4.15,Nội thất đầy đủ,10.7611112795402,Sổ riêng,106.690246914951,2.0,2.0,2.0,24.0,Nhà riêng,batdongsancomvn,1,418.848167539267
"Đường Thống Nhất, Phường Đông Hòa, Dĩ An, Bình Dương",65.0,Bình Dương,Dĩ An,4.5,Nội thất đầy đủ,10.8920627429314,Sổ riêng,106.79794534254,5.0,4.0,4.0,7.2,Nhà riêng,batdongsancomvn,1,110.76923076923077
"57 - 57A - 55/2, Đường Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Hồ Chí Minh",198.6,Hồ Chí Minh,Quận 1,4.15,,10.7610373013463,Sổ riêng,106.692446711202,5.0,5.0,7.0,110.0,Nhà riêng,batdongsancomvn,0,553.8771399798591
"Dự án Viva Plaza, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",55.0,Hồ Chí Minh,Quận 7,0.0,Nội thất cơ bản,10.7143169347773,Không có,106.731187431548,1.0,2.0,2.0,3.15,Chung cư,batdongsancomvn,1,57.27272727272727
"Dự án Việt Hưng, Đường Vạn Hạnh, Phường Việt Hưng, Long Biên, Hà Nội",75.0,Hà Nội,Long Biên,0.0,Nội thất cơ bản,21.06269976715657,Sổ riêng,105.90818251821436,2.0,3.0,4.0,4.5,Chung cư,batdongsancomvn,1,60.0
"Dự án Diamond Centery Celadon City, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",121.0,Hồ Chí Minh,Tân Phú,0.0,Nội thất cơ bản,10.803987424944614,Không có,106.617432643941,3.0,3.0,2.0,10.0,Chung cư,batdongsancomvn,1,82.64462809917356
"Tòa nhà 101 Láng Hạ, Láng Hạ, Láng Hạ, Đống Đa, Hà Nội",146.5,Hà Nội,Đống Đa,0.0,Nội thất đầy đủ,21.0144961361359,Sổ riêng,105.813885561691,2.0,4.0,4.0,12.0,Chung cư,batdongsancomvn,1,81.91126279863481
"Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",105.0,Hà Nội,Bắc Từ Liêm,0.0,Nội thất đầy đủ,21.08377197633093,Không có,105.79182127309198,2.0,3.0,4.0,10.0,Chung cư,batdongsancomvn,1,95.23809523809524
"Dự án 8X Plus Trường Chinh, Đường Trường Chinh, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",61.4,Hồ Chí Minh,Quận 12,0.0,Nội thất cơ bản,10.83046196471456,Sổ riêng,106.6209391472176,2.0,2.0,2.0,2.8,Chung cư,batdongsancomvn,1,45.60260586319218
"Sông Hồng Park View, 165, Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội",113.0,Hà Nội,Đống Đa,0.0,,21.0153240139799,Sổ riêng,105.817557313916,2.0,3.0,4.0,9.05,Chung cư,batdongsancomvn,0,80.08849557522124
"Dự án Bàu Cát II, Đường Lạc Hồng, Phường 10, Tân Bình, Hồ Chí Minh",54.0,Hồ Chí Minh,Tân Bình,0.0,,10.7843371892128,Sổ riêng,106.647067087482,2.0,2.0,2.0,2.75,Chung cư,batdongsancomvn,0,50.925925925925924
"Dự án KĐT Linh Đàm, Đường Đạm Phương, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",77.0,Hà Nội,Hoàng Mai,0.0,Nội thất đầy đủ,20.9714899008634,Sổ riêng,105.828267681424,2.0,3.0,4.0,5.9,Chung cư,batdongsancomvn,1,76.62337662337663
"Dự án Masteri Centre Point, Phường Long Bình, Quận 9, Hồ Chí Minh",99.38,Hồ Chí Minh,Quận 9,0.0,,10.84103065761376,Không có,106.83969854210108,2.0,2.0,2.0,7.9,Chung cư,batdongsancomvn,0,79.49285570537332
"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",43.0,Hà Nội,Nam Từ Liêm,0.0,Nội thất đầy đủ,21.0064121031097,Sổ riêng,105.736593769221,1.0,1.0,4.0,3.85,Chung cư,batdongsancomvn,1,89.53488372093024
"Đường Phan Đình Phùng, Phường 1, Phú Nhuận, Hồ Chí Minh",36.0,Hồ Chí Minh,Phú Nhuận,0.0,,10.7975772630508,Sổ riêng,106.680961918625,1.0,2.0,2.0,1.5,Chung cư,batdongsancomvn,0,41.666666666666664
"Dự án The Beverly - Vinhomes Grand Park, Phường Long Bình, Quận 9, Hồ Chí Minh",55.0,Hồ Chí Minh,Quận 9,0.0,Nội thất cơ bản,10.8440125691831,Không có,106.845664446829,1.0,1.0,2.0,3.4,Chung cư,batdongsancomvn,1,61.81818181818182
"Chung cư Tân Vĩnh Đường Tân Vĩnh, Phường 6, Quận 4, Hồ Chí Minh",83.0,Hồ Chí Minh,Quận 4,0.0,,10.7586345238206,Sổ riêng,106.700693547606,1.0,2.0,2.0,3.9,Chung cư,batdongsancomvn,0,46.98795180722892
"Dự án The Origami, Đường Phước Thiện, Phường Long Bình, Quận 9, Hồ Chí Minh",54.0,Hồ Chí Minh,Quận 9,0.0,Nội thất cơ bản,10.8430262263871,Sổ riêng,106.843064179917,2.0,2.0,2.0,3.0,Chung cư,batdongsancomvn,1,55.55555555555556
"Phường Nhân Chính, Thanh Xuân, Hà Nội",54.0,Hà Nội,Thanh Xuân,0.0,,21.0019332194634,Không có,105.806632197404,2.0,2.0,4.0,5.5,Chung cư,batdongsancomvn,0,101.85185185185185
"Dự án Opal Skyline, Đường Nguyễn Văn Tiết, Phường Lái Thiêu, Thuận An, Bình Dương",68.4,Bình Dương,Thuận An,0.0,Nội thất cơ bản,10.9176973618731,Sổ riêng,106.710206085654,2.0,2.0,1.0,1.95,Chung cư,batdongsancomvn,1,28.508771929824558
"Dự án The Maison, Đường Phan Bội Châu, Phường Phú Thọ, Thủ Dầu Một, Bình Dương",46.0,Bình Dương,Thủ Dầu Một,0.0,Nội thất đầy đủ,10.9473608423677,Hợp đồng,106.66044310729,1.0,2.0,1.0,1.5,Chung cư,batdongsancomvn,1,32.608695652173914
"Dự án Packexim 2 Tây Hồ, Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",60.3,Hà Nội,Tây Hồ,0.0,,21.0877738074134,Sổ riêng,105.814816048247,2.0,2.0,4.0,6.2,Chung cư,batdongsancomvn,0,102.81923714759536
"Dự án River Panorama, Đường Lê Thị Chợ, Phường Phú Thuận, Quận 7, Hồ Chí Minh",52.6,Hồ Chí Minh,Quận 7,0.0,Không nội thất,10.7142445660171,Không có,106.738158513432,1.0,2.0,2.0,3.75,Chung cư,batdongsancomvn,1,71.29277566539923
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",60.8,Hồ Chí Minh,Quận 7,4.0,Nội thất đầy đủ,10.7267422461911,Sổ riêng,106.733821688591,5.0,4.0,3.0,6.79,Nhà riêng,batdongsancomvn,1,111.67763157894737
"Hẻm 167, Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",62.0,Hồ Chí Minh,Quận 7,5.7,Nội thất đầy đủ,10.7471007892843,Sổ riêng,106.728886073502,3.0,4.0,3.0,6.79,Nhà riêng,batdongsancomvn,1,109.51612903225806
"Đường Lê Văn Sỹ, Phường 13, Quận 3, Hồ Chí Minh",113.0,Hồ Chí Minh,Quận 3,8.45,,10.7876332937702,Sổ riêng,106.677946655962,17.0,16.0,5.0,33.0,Nhà riêng,batdongsancomvn,0,292.0353982300885
"Đường D3, Phường 25, Bình Thạnh, Hồ Chí Minh",73.2,Hồ Chí Minh,Bình Thạnh,5.0,,10.8040661713017,Sổ riêng,106.716973355331,4.0,4.0,3.0,15.5,Nhà riêng,batdongsancomvn,0,211.7486338797814
"Đường Trần Thánh Tông, Phường 15, Tân Bình, Hồ Chí Minh",48.8,Hồ Chí Minh,Tân Bình,4.2,Nội thất cơ bản,10.8284468463648,Sổ riêng,106.639648210653,2.0,2.0,2.0,7.2,Nhà riêng,batdongsancomvn,1,147.54098360655738
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",77.4,Hồ Chí Minh,Gò Vấp,4.3,,10.8499797361551,Không có,106.650934158283,3.0,5.0,5.0,9.5,Nhà riêng,batdongsancomvn,0,122.73901808785529
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",55.2,Hồ Chí Minh,Gò Vấp,4.3,Nội thất đầy đủ,10.8482903020551,Sổ riêng,106.647819082823,2.0,2.0,2.0,6.6,Nhà riêng,batdongsancomvn,1,119.56521739130434
"Đường Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",59.0,Hồ Chí Minh,Bình Thạnh,8.3,Nội thất đầy đủ,10.8151943958123,Sổ riêng,106.708022095698,7.0,6.0,4.0,7.9,Nhà riêng,batdongsancomvn,1,133.89830508474577
"Hẻm 36, Đường Nguyễn Gia Trí, Phường 25, Bình Thạnh, Hồ Chí Minh",80.0,Hồ Chí Minh,Bình Thạnh,4.0,,10.8033638754708,Sổ riêng,106.716729007411,4.0,4.0,5.0,23.3,Nhà riêng,batdongsancomvn,0,291.25
"Đường Vòng Vạn Mỹ, Phường Vạn Mỹ, Ngô Quyền, Hải Phòng",78.4,Hải Phòng,Ngô Quyền,5.6,,20.8632154391225,Sổ riêng,106.711275742623,5.0,4.0,5.0,7.5,Nhà riêng,batdongsancomvn,0,95.66326530612244
"Đường Phan Xích Long, Phường 3, Phú Nhuận, Hồ Chí Minh",66.0,Hồ Chí Minh,Phú Nhuận,5.2,,10.8010877995028,Không có,106.683899431875,9.0,8.0,4.0,13.69,Nhà riêng,batdongsancomvn,0,207.42424242424244
"Đường Đại lộ Thăng Long, Xã Vân Côn, Hoài Đức, Hà Nội",60.0,Hà Nội,Hoài Đức,10.0,Nội thất đầy đủ,21.0039760428735,Sổ riêng,105.677800743971,1.0,1.0,1.0,4.5,Nhà riêng,batdongsancomvn,1,75.0
"Đường Bến Vân Đồn, Phường 5, Quận 4, Hồ Chí Minh",25.5,Hồ Chí Minh,Quận 4,3.33,Nội thất đầy đủ,10.760091908375,Sổ riêng,106.696080393327,2.0,2.0,2.0,3.5,Nhà riêng,batdongsancomvn,1,137.2549019607843
"Đường Đào Tông Nguyên, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",80.1,Hồ Chí Minh,Nhà Bè,5.0,Nội thất đầy đủ,10.6845366013626,Sổ riêng,106.749971209454,5.0,4.0,4.0,9.9,Nhà riêng,batdongsancomvn,1,123.59550561797754
"Đường Lý Phục Man, Phường Bình Thuận, Quận 7, Hồ Chí Minh",63.0,Hồ Chí Minh,Quận 7,3.8,Nội thất đầy đủ,10.7432524844203,Sổ riêng,106.725761919167,3.0,4.0,4.0,9.1,Nhà riêng,batdongsancomvn,1,144.44444444444446
"Đường Vành Đai 3.5, Xã Di Trạch, Hoài Đức, Hà Nội",46.0,Hà Nội,Hoài Đức,4.7,Nội thất đầy đủ,21.0462151212277,Sổ riêng,105.720693590644,3.0,5.0,4.0,5.1,Nhà riêng,batdongsancomvn,1,110.8695652173913
"Đường Đào Tông Nguyên, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",50.0,Hồ Chí Minh,Nhà Bè,5.0,Nội thất đầy đủ,10.6845585907008,Sổ riêng,106.75046779846,3.0,4.0,4.0,6.89,Nhà riêng,batdongsancomvn,1,137.8
"Đường 422B, Xã Vân Canh, Hoài Đức, Hà Nội",30.0,Hà Nội,Hoài Đức,4.0,Nội thất đầy đủ,21.0388268147283,Sổ riêng,105.726895546705,3.0,3.0,5.0,5.39,Nhà riêng,batdongsancomvn,1,179.66666666666666
"Đường Bùi Đình Túy, Phường 12, Bình Thạnh, Hồ Chí Minh",61.1,Hồ Chí Minh,Bình Thạnh,4.4,Nội thất cơ bản,10.8078911731858,Sổ riêng,106.702888047386,2.0,2.0,2.0,9.8,Nhà riêng,batdongsancomvn,1,160.39279869067101
"Đường Tăng Bạt Hổ, Phường 11, Bình Thạnh, Hồ Chí Minh",49.0,Hồ Chí Minh,Bình Thạnh,4.6,Nội thất cơ bản,10.8106312006705,Sổ riêng,106.693486297826,3.0,3.0,3.0,10.5,Nhà riêng,batdongsancomvn,1,214.28571428571428
"Dự án Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",210.0,Hưng Yên,Văn Giang,15.0,Nội thất cơ bản,20.943944943589383,Không có,105.98059350952612,4.0,4.0,4.0,60.0,Biệt thự,batdongsancomvn,1,285.7142857142857
"Dự án Vlasta Thủy Nguyên, Đường 359C, Phường Thủy Đường, Thủy Nguyên, Hải Phòng",62.5,Hải Phòng,Thủy Nguyên,5.0,Không nội thất,20.927439566779356,Không có,106.6805138941966,3.0,5.0,4.0,5.1,Biệt thự,batdongsancomvn,1,81.6
"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",229.1,Hà Nội,Gia Lâm,30.0,,21.002234974585473,Sổ riêng,105.96426022278948,4.0,4.0,4.0,56.0,Biệt thự,batdongsancomvn,0,244.43474465298996
"Dự án Mailand Hanoi City, Đường Đại lộ Thăng Long, Xã An Khánh, Hoài Đức, Hà Nội",278.0,Hà Nội,Hoài Đức,6.0,,21.0155388221026,Không có,105.724338038519,6.0,5.0,4.0,41.7,Biệt thự,batdongsancomvn,0,150.0
