address,area,city_province,district,front_road_width,interior,latitude,legal,longitude,n_bathrooms,n_bedrooms,n_floors,price,property_type,source,has_interior_info,price_per_m2
"Dự án Vinhomes Ocean Park 3, Đường Phố Biển, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",120.0,Hưng Yên,Văn Giang,8.0,Không nội thất,20.941492209599193,Không có,105.95631277238182,4.0,6.0,5.0,17.3,Biệt thự,batdongsancomvn,1,144.16666666666666
"Dự án Thảo Nguyên Sài Gòn, Đường D6, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",384.0,Hồ Chí Minh,Quận 9,16.0,Không nội thất,10.8667745685491,Sổ riêng,106.816714865984,5.0,5.0,3.0,28.0,Biệt thự,batdongsancomvn,1,72.91666666666667
"Dự án La Vida Residences, Đường 3/2, Phường 12, Vũng Tàu, Bà Rịa Vũng Tàu",87.0,Bà Rịa Vũng Tàu,Vũng Tàu,7.5,Nội thất đầy đủ,10.3959687440857,Không có,107.148755936921,5.0,4.0,3.0,10.0,Biệt thự,batdongsancomvn,1,114.94252873563218
"Dự án Sol Lake Villa, Phường Yên Nghĩa, Hà Đông, Hà Nội",222.5,Hà Nội,Hà Đông,10.0,Không nội thất,20.95999305636312,Sổ riêng,105.73599357313644,6.0,6.0,4.0,36.0,Biệt thự,batdongsancomvn,1,161.79775280898878
"La Vida Residences, Đường 3/2, Phường 12, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu",78.0,Bà Rịa Vũng Tàu,Vũng Tàu,5.0,,10.3952767635214,Không có,107.147610144103,5.0,4.0,4.0,6.25,Biệt thự,batdongsancomvn,0,80.12820512820512
"Dự án La Vida Residences, Đường 3/2, Phường 12, Vũng Tàu, Bà Rịa Vũng Tàu",273.0,Bà Rịa Vũng Tàu,Vũng Tàu,15.0,Không nội thất,10.3957453565289,Không có,107.148089911336,5.0,4.0,3.0,22.0,Biệt thự,batdongsancomvn,1,80.58608058608058
"La Vida Residences, Đường 3/2, Phường 12, Vũng Tàu, Bà Rịa Vũng Tàu",103.6,Bà Rịa Vũng Tàu,Vũng Tàu,7.5,Không nội thất,10.3962915791956,Sổ riêng,107.147624089501,5.0,4.0,4.0,8.85,Biệt thự,batdongsancomvn,1,85.42471042471043
"ParaSol, Phường Cam Nghĩa, Cam Ranh, Khánh Hòa",122.2,Khánh Hòa,Cam Ranh,5.0,,11.9955681538647,Sổ riêng,109.231970091279,3.0,3.0,2.0,4.8,Biệt thự,batdongsancomvn,0,39.27986906710311
"Dự án Mailand Hanoi City, Đường Đại lộ Thăng Long, Xã Song Phương, Hoài Đức, Hà Nội",278.0,Hà Nội,Hoài Đức,11.65,Không nội thất,21.0149061647214,Sổ riêng,105.723914584099,6.0,5.0,4.0,41.7,Biệt thự,batdongsancomvn,1,150.0
"Vinhomes Royal Island, Phường Thủy Hà, Thủy Nguyên, Hải Phòng",67.5,Hải Phòng,Thủy Nguyên,4.5,,20.8733939477895,Không có,106.720503084362,4.0,5.0,4.0,8.8,Biệt thự,batdongsancomvn,0,130.37037037037038
"Dự án Vinhomes Gardenia, Đường Hàm Nghi, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",193.0,Hà Nội,Nam Từ Liêm,7.0,,21.036591842518224,Sổ riêng,105.76066434225535,6.0,6.0,5.0,75.0,Biệt thự,batdongsancomvn,0,388.60103626943004
"Dự án Thanh Xuân Valley, Xã Ngọc Thanh, Phúc Yên, Vĩnh Phúc",323.0,Vĩnh Phúc,Phúc Yên,6.6,Không nội thất,21.3534335008836,Không có,105.746237623349,4.0,4.0,3.0,22.61,Biệt thự,batdongsancomvn,1,70.0
"Dự án Verosa Park, Đường Số 5, Phường Phú Hữu, Quận 9, Hồ Chí Minh",132.4,Hồ Chí Minh,Quận 9,6.0,Không nội thất,10.8055360006556,Sổ riêng,106.789521624102,5.0,4.0,4.0,21.86,Biệt thự,batdongsancomvn,1,165.10574018126889
"Dự án Mailand Hanoi City, Đường Đại lộ Thăng Long, Xã An Khánh, Hoài Đức, Hà Nội",325.2,Hà Nội,Hoài Đức,12.5,Không nội thất,21.015054968063545,Sổ riêng,105.72485524240884,5.0,5.0,4.0,53.658,Biệt thự,batdongsancomvn,1,165.0
"Dự án Thanh Xuân Valley, Xã Ngọc Thanh, Phúc Yên, Vĩnh Phúc",323.0,Vĩnh Phúc,Phúc Yên,12.0,Nội thất cơ bản,21.3539862017304,Không có,105.747115540418,5.0,5.0,3.0,18.8,Biệt thự,batdongsancomvn,1,58.204334365325074
"Dự án KĐT Vạn Phúc City, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",171.0,Hồ Chí Minh,Thủ Đức,9.0,Nội thất đầy đủ,10.8448984491717,Sổ riêng,106.717757248469,5.0,4.0,4.0,34.2,Biệt thự,batdongsancomvn,1,200.0
"Dự án Vinhomes Ocean Park Gia Lâm, Đường Ngọc Trai 8, Xã Đa Tốn, Gia Lâm, Hà Nội",66.0,Hà Nội,Gia Lâm,5.5,Không nội thất,21.0024565161958,Sổ riêng,105.964091237262,4.0,4.0,3.0,19.0,Biệt thự,batdongsancomvn,1,287.8787878787879
"Dự án Solasta Mansion, Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội",170.0,Hà Nội,Hà Đông,6.875,,20.97662806873877,Không có,105.7616358421211,5.0,5.0,4.0,30.0,Biệt thự,batdongsancomvn,0,176.47058823529412
"La Vida Residences, Đường 3/2, Phường 12, Vũng Tàu, Bà Rịa Vũng Tàu",170.0,Bà Rịa Vũng Tàu,Vũng Tàu,10.0,Không nội thất,10.39564341125,Không có,107.148145211976,4.0,4.0,3.0,13.5,Biệt thự,batdongsancomvn,1,79.41176470588235
"Thảo Nguyên Sài Gòn, 32, Đường D1, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",415.3,Hồ Chí Minh,Quận 9,13.24,Nội thất đầy đủ,10.8669772607584,Sổ riêng,106.817428279808,6.0,6.0,3.0,36.0,Biệt thự,batdongsancomvn,1,86.68432458463761
"Đường Trần Thanh Mại, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",88.0,Hồ Chí Minh,Bình Tân,4.0,Nội thất cơ bản,10.7533506512279,Sổ riêng,106.588653676734,4.0,6.0,2.0,9.0,Nhà riêng,batdongsancomvn,1,102.27272727272727
"Đường Quang Trung, Phường Phú La, Hà Đông, Hà Nội",83.5,Hà Nội,Hà Đông,5.0,,20.95614446966,Sổ riêng,105.76603874316,4.0,5.0,2.0,16.8,Nhà riêng,batdongsancomvn,0,201.19760479041915
"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Hồ Chí Minh",280.0,Hồ Chí Minh,Quận 6,6.0,Nội thất cơ bản,10.7380197616114,Sổ riêng,106.628435851092,10.0,11.0,4.0,35.0,Nhà riêng,batdongsancomvn,1,125.0
"Phố Khúc Thừa Dụ, Phường Dịch Vọng, Cầu Giấy, Hà Nội",173.7,Hà Nội,Cầu Giấy,8.0,,21.032767866038,Sổ riêng,105.791872437926,6.0,4.0,6.0,164.0,Nhà riêng,batdongsancomvn,0,944.1565918249856
"271 Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh",57.8,Hồ Chí Minh,Tân Bình,3.8,,10.808504855385,Sổ riêng,106.688486866643,4.0,4.0,1.0,17.9,Nhà riêng,batdongsancomvn,0,309.6885813148789
"Đường Lý Thái Tổ, Phường Sơn Phong, Hội An, Quảng Nam",193.5,Quảng Nam,Hội An,5.0,,15.8862774458876,Không có,108.333874556897,2.0,3.0,2.0,18.0,Nhà riêng,batdongsancomvn,0,93.02325581395348
"Số 82, Đường Đàm Thận Huy, Phường Tân Quý, Tân Phú, Hồ Chí Minh",95.0,Hồ Chí Minh,Tân Phú,4.27,,10.7888756981783,Sổ riêng,106.624939298962,9.0,7.0,6.0,14.0,Nhà riêng,batdongsancomvn,0,147.3684210526316
"Đường Nguyễn Văn Đậu, Phường 11, Bình Thạnh, Hồ Chí Minh",90.0,Hồ Chí Minh,Bình Thạnh,4.0,,10.8120429095969,Sổ riêng,106.692494876001,2.0,2.0,2.0,15.6,Nhà riêng,batdongsancomvn,0,173.33333333333334
"Dự án Khu đô thị Cát Lái, Đường Đồng Văn Cống, Phường Cát Lái, Quận 2, Hồ Chí Minh",159.0,Hồ Chí Minh,Quận 2,10.0,Nội thất đầy đủ,10.772088223851,Sổ riêng,106.767244243557,4.0,5.0,5.0,19.9,Nhà riêng,batdongsancomvn,1,125.15723270440252
"248, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",65.8,Hà Nội,Hai Bà Trưng,5.34,,20.9959267707574,Sổ riêng,105.874008082755,5.0,3.5,1.0,23.5,Nhà riêng,batdongsancomvn,0,357.14285714285717
"Đường Phạm Ngũ Lão, Phường 1, Gò Vấp, Hồ Chí Minh",44.5,Hồ Chí Minh,Gò Vấp,3.5,Nội thất cơ bản,10.8234162094596,Sổ riêng,106.682036102599,1.0,2.0,1.0,7.55,Nhà riêng,batdongsancomvn,1,169.6629213483146
"Đường Trần Huấn, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",200.0,Đà Nẵng,Cẩm Lệ,10.0,Không nội thất,16.0210856166281,Sổ riêng,108.215548579288,3.0,3.0,3.0,20.5,Nhà riêng,batdongsancomvn,1,102.5
"Đường Điện Biên Phủ, Phường Chính Gián, Thanh Khê, Đà Nẵng",327.0,Đà Nẵng,Thanh Khê,8.0,Nội thất cơ bản,16.0655738050561,Sổ riêng,108.199226640761,3.0,4.0,3.0,48.8,Nhà riêng,batdongsancomvn,1,149.23547400611622
"Đường Yersin, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",68.0,Hồ Chí Minh,Quận 1,16.0,Nội thất cơ bản,10.7673966043754,Sổ riêng,106.69746837096,6.0,10.0,7.0,53.0,Nhà riêng,batdongsancomvn,1,779.4117647058823
"Đường Hùng Vương, Xã Phước An, Nhơn Trạch, Đồng Nai",492.0,Đồng Nai,Nhơn Trạch,9.5,Không nội thất,10.6557866188454,Sổ riêng,106.940718143743,2.0,4.0,2.0,16.0,Nhà riêng,batdongsancomvn,1,32.520325203252035
"Đường Số 4, Phường 7, Gò Vấp, Hồ Chí Minh",119.0,Hồ Chí Minh,Gò Vấp,4.3,Nội thất đầy đủ,10.8326115709923,Sổ riêng,106.683998787897,8.0,7.0,3.0,19.9,Nhà riêng,batdongsancomvn,1,167.2268907563025
"Đường Huỳnh Thị Đồng, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",74.0,Hồ Chí Minh,Nhà Bè,4.5,Nội thất đầy đủ,10.6971183610265,Sổ riêng,106.740634308607,5.0,4.0,3.0,8.5,Nhà riêng,batdongsancomvn,1,114.86486486486487
"Đường Đinh Công Tráng, Phường Tân Định, Quận 1, Hồ Chí Minh",58.0,Hồ Chí Minh,Quận 1,4.15,Nội thất cơ bản,10.7894217762811,Sổ riêng,106.691620963152,5.0,5.0,5.0,20.0,Nhà riêng,batdongsancomvn,1,344.82758620689657
"16 Đường Số 16, Phường An Phú, Quận 2, Hồ Chí Minh",105.0,Hồ Chí Minh,Quận 2,6.0,Nội thất đầy đủ,10.8062511942525,Sổ riêng,106.750750273432,5.0,4.0,3.0,22.8,Nhà riêng,batdongsancomvn,1,217.14285714285714
"Dự án Jamona City, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",181.0,Hồ Chí Minh,Quận 7,0.0,Không nội thất,10.7357123218165,Hợp đồng,106.740179487245,2.0,2.0,2.0,7.5,Chung cư,batdongsancomvn,1,41.43646408839779
"Ecolife Capitol, Tố Hữu, Trung Văn, Nam Từ Liêm, Hà Nội",75.0,Hà Nội,Nam Từ Liêm,0.0,Nội thất đầy đủ,20.9945778551689,Sổ riêng,105.789391540662,2.0,2.0,4.0,6.95,Chung cư,batdongsancomvn,1,92.66666666666667
"Dự án Phúc Đạt Tower, 160 Đường Quốc lộ 1K, Phường Đông Hòa, Dĩ An, Bình Dương",60.0,Bình Dương,Dĩ An,0.0,,10.890916699092331,Sổ riêng,106.78508127219928,2.0,2.0,1.0,2.1,Chung cư,batdongsancomvn,0,35.0
"Hoàng Kim Thế Gia (The Golden Dynasty), Trương Phước Phan, Bình Trị Đông, Bình Tân, Hồ Chí Minh",82.0,Hồ Chí Minh,Bình Tân,0.0,Nội thất cơ bản,10.7672627797203,Sổ riêng,106.612905566667,2.0,3.0,2.0,3.88,Chung cư,batdongsancomvn,1,47.31707317073171
