,property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,dimension_2,address,city_province,district,legal_docs,facing_direction,front_width,balcony_direction,raw_price,raw_area,raw_n_bedrooms,raw_n_bathrooms,scraper
1806,Nhà mặt tiền,2.65,80.0,m²,3.0,2.0,1.0,20.0,"Phường Phú Thứ, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Bắc,4.0,,2.65,"80 m²(4,0x20,0)",3 phòng,2 WC,Thiên
1807,Nhà mặt tiền,5.58,60.0,m²,3.0,,,15.0,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.0,,5.58,"60 m²(4,0x15,0)",3 phòng,,Thiên
1808,Nhà mặt tiền,8.5,114.0,m²,4.0,4.0,,19.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Nam,6.0,,8.5,"114 m²(6,0x19,0)",4 phòng,4 WC,Thiên
1809,Nhà mặt tiền,2.65,70.0,m²,2.0,2.0,1.0,15.5,"Phường Thường Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Bắc,4.5,,2.65,"70 m²(4,5x15,5)",2 phòng,2 WC,Thiên
1810,Nhà mặt tiền,5.58,61.0,m²,4.0,5.0,2.0,15.0,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Nam,4.0,,5.58,"61 m²(4,0x15,0)",4 phòng,5 WC,Thiên
1811,Nhà hẻm ngõ,3.39,88.7,m²,3.0,3.0,1.0,18.1,"Phường Lê Bình, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Bắc,5.0,,3.39,"88,7 m²(5,0x18,1)",3 phòng,3 WC,Thiên
1812,Nhà mặt tiền,5.95,80.0,m²,5.0,4.0,3.0,16.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Nam,5.0,,5.95,"80 m²(5,0x16,0)",5 phòng,4 WC,Thiên
1813,Nhà mặt tiền,4.9,94.0,m²,2.0,2.0,2.0,19.0,"Phường Thới Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây,4.9,,4.9,"94 m²(4,9x19,0)",2 phòng,2 WC,Thiên
1814,Nhà hẻm ngõ,3.09,48.2,m²,3.0,2.0,1.0,10.4,"Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Nam,4.6,,3.09,"48,2 m²(4,6x10,4)",3 phòng,2 WC,Thiên
1815,Nhà mặt tiền,0.37,52.0,m²,1.0,1.0,,13.0,"Phường Phước Thới, Quận Ô Môn, Cần Thơ",Cần Thơ,Quận Ô Môn,Hợp đồng mua bán,Đông,4.0,,0.37,"52 m²(4,0x13,0)",1 phòng,1 WC,Thiên
1816,Biệt thự,13.6,438.0,m²,4.0,4.0,2.0,33.0,"Phường Phú Thứ, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Nam,13.0,,13.6,"438 m²(13,0x33,0)",4 phòng,4 WC,Thiên
1817,Nhà hẻm ngõ,1.5,66.0,m²,4.0,4.0,2.0,11.0,"Phường Trà Nóc, Quận Bình Thuỷ, Cần Thơ",Cần Thơ,Quận Bình Thuỷ,Giấy tờ hợp lệ,Đông Nam,6.0,,1.5,"66 m²(6,0x11,0)",4 phòng,4 WC,Thiên
